source,target,complex_name
LSM3,PPIL1,Spliceosome
LSM3,LSM4,Spliceosome
LSM3,PAXBP1,Spliceosome
LSM3,RBM8A,Spliceosome
LSM6,TCERG1,Spliceosome
LSM6,U2SURP,Spliceosome
LSM6,PPM1G,Spliceosome
LSM6,PRPF4,Spliceosome
LSM6,SART1,Spliceosome
LSM6,PRPF3,Spliceosome
LSM6,PPIH,Spliceosome
LSM6,PLRG1,Spliceosome
LSM6,ZNF207,Spliceosome
LSM6,NUDT21,Spliceosome
LSM6,PRPF40A,Spliceosome
LSM6,SF3B1,Spliceosome
LSM6,SNRNP200,Spliceosome
LSM6,SMNDC1,Spliceosome
LSM6,PRPF6,Spliceosome
LSM6,LUC7L3,Spliceosome
LSM6,SLU7,Spliceosome
LSM6,SYF2,Spliceosome
LSM6,SNRPB2,Spliceosome
LSM6,SNRNP70,Spliceosome
LSM6,SNRPA,Spliceosome
LSM6,SNRPC,Spliceosome
LSM6,SNRPA1,Spliceosome
LSM6,PABPC1,Spliceosome
LSM6,SNRPB,Spliceosome
LSM6,U2AF2,Spliceosome
LSM6,MTREX,Spliceosome
LSM6,RBM25,Spliceosome
LSM6,NCBP2,Spliceosome
LSM6,MFAP1,Spliceosome
LSM6,SNU13,Spliceosome
LSM6,MAGOH,Spliceosome
LSM6,SNRPE,Spliceosome
LSM6,SNRPF,Spliceosome
LSM6,SNRPG,Spliceosome
LSM6,SNRPD1,Spliceosome
LSM6,SNRPD2,Spliceosome
LSM6,SNRPD3,Spliceosome
LSM6,TRA2B,Spliceosome
LSM6,TXNL4A,Spliceosome
LSM6,SRSF3,Spliceosome
LSM6,U2AF1,Spliceosome
LSM6,SRSF2,Spliceosome
LSM6,SRSF11,Spliceosome
LSM6,SRSF1,Spliceosome
LSM6,SRSF4,Spliceosome
LSM6,NCBP1,Spliceosome
LSM6,SF3A3,Spliceosome
LSM6,SRSF9,Spliceosome
LSM6,SRSF5,Spliceosome
LSM6,SRSF6,Spliceosome
LSM6,PPIL2,Spliceosome
LSM6,SF3B2,Spliceosome
LSM6,PRPF4B,Spliceosome
LSM6,SNW1,Spliceosome
LSM6,THOC5,Spliceosome
LSM6,RBM39,Spliceosome
LSM6,WTAP,Spliceosome
LSM6,RNPS1,Spliceosome
LSM6,SF3B3,Spliceosome
LSM6,SF3B4,Spliceosome
LSM6,SF3A2,Spliceosome
LSM6,SF3A1,Spliceosome
LSM6,SF1,Spliceosome
LSM6,SRSF7,Spliceosome
LSM6,SMU1,Spliceosome
LSM6,USP39,Spliceosome
LSM6,THOC7,Spliceosome
LSM6,PRPF8,Spliceosome
LSM6,THOC6,Spliceosome
LSM6,SRRM1,Spliceosome
LSM6,THOC2,Spliceosome
LSM6,SNRNP27,Spliceosome
LSM6,PRPF31,Spliceosome
LSM6,PPWD1,Spliceosome
LSM6,SNRNP40,Spliceosome
LSM6,THOC1,Spliceosome
LSM6,RBM17,Spliceosome
LSM6,THOC3,Spliceosome
LSM6,RBM15,Spliceosome
LSM6,SPEN,Spliceosome
LSM6,PRPF18,Spliceosome
LSM6,SRRT,Spliceosome
LSM6,PPIL3,Spliceosome
LSM6,MOV10,Spliceosome
LSM6,XAB2,Spliceosome
LSM6,RBM22,Spliceosome
LSM6,TFIP11,Spliceosome
LSM6,PUF60,Spliceosome
LSM6,LSM7,Spliceosome
LSM6,PRPF19,Spliceosome
LSM6,PPIE,Spliceosome
LSM6,SRRM2,Spliceosome
LSM6,WBP11,Spliceosome
LSM6,SF3B6,Spliceosome
LSM6,PPIL1,Spliceosome
LSM6,PAXBP1,Spliceosome
LSM6,RBM8A,Spliceosome
SNRPD1,TCERG1,Spliceosome
SNRPD1,U2SURP,Spliceosome
SNRPD1,ZNF207,Spliceosome
SNRPD1,SYF2,Spliceosome
SNRPD1,U2AF2,Spliceosome
SNRPD1,SNU13,Spliceosome
SNRPD1,SNRPE,Spliceosome
SNRPD1,SNRPF,Spliceosome
SNRPD1,SNRPG,Spliceosome
SNRPD1,SNRPD2,Spliceosome
SNRPD1,SNRPD3,Spliceosome
SNRPD1,TRA2B,Spliceosome
SNRPD1,TXNL4A,Spliceosome
SNRPD1,SRSF3,Spliceosome
SNRPD1,U2AF1,Spliceosome
SNRPD1,SRSF2,Spliceosome
SNRPD1,SRSF11,Spliceosome
SNRPD1,SRSF1,Spliceosome
SNRPD1,SRSF4,Spliceosome
SNRPD1,SRSF9,Spliceosome
SNRPD1,SRSF5,Spliceosome
SNRPD1,SRSF6,Spliceosome
SNRPD1,SNW1,Spliceosome
SNRPD1,THOC5,Spliceosome
SNRPD1,WTAP,Spliceosome
SNRPD1,SRSF7,Spliceosome
SNRPD1,USP39,Spliceosome
SNRPD1,THOC7,Spliceosome
SNRPD1,THOC6,Spliceosome
SNRPD1,SRRM1,Spliceosome
SNRPD1,THOC2,Spliceosome
SNRPD1,THOC1,Spliceosome
SNRPD1,THOC3,Spliceosome
SNRPD1,SPEN,Spliceosome
SNRPD1,SRRT,Spliceosome
SNRPD1,XAB2,Spliceosome
SNRPD1,TFIP11,Spliceosome
SNRPD1,SRRM2,Spliceosome
SNRPD1,WBP11,Spliceosome
SNRPD2,TCERG1,Spliceosome
SNRPD2,U2SURP,Spliceosome
SNRPD2,ZNF207,Spliceosome
SNRPD2,SYF2,Spliceosome
SNRPD2,U2AF2,Spliceosome
SNRPD2,SNU13,Spliceosome
SNRPD2,SNRPE,Spliceosome
SNRPD2,SNRPF,Spliceosome
SNRPD2,SNRPG,Spliceosome
SNRPD2,SNRPD3,Spliceosome
SNRPD2,TRA2B,Spliceosome
SNRPD2,TXNL4A,Spliceosome
SNRPD2,SRSF3,Spliceosome
SNRPD2,U2AF1,Spliceosome
SNRPD2,SRSF2,Spliceosome
SNRPD2,SRSF11,Spliceosome
SNRPD2,SRSF1,Spliceosome
SNRPD2,SRSF4,Spliceosome
SNRPD2,SRSF9,Spliceosome
SNRPD2,SRSF5,Spliceosome
SNRPD2,SRSF6,Spliceosome
SNRPD2,SNW1,Spliceosome
SNRPD2,THOC5,Spliceosome
SNRPD2,WTAP,Spliceosome
SNRPD2,SRSF7,Spliceosome
SNRPD2,USP39,Spliceosome
SNRPD2,THOC7,Spliceosome
SNRPD2,THOC6,Spliceosome
SNRPD2,SRRM1,Spliceosome
SNRPD2,THOC2,Spliceosome
SNRPD2,THOC1,Spliceosome
SNRPD2,THOC3,Spliceosome
SNRPD2,SPEN,Spliceosome
SNRPD2,SRRT,Spliceosome
SNRPD2,XAB2,Spliceosome
SNRPD2,TFIP11,Spliceosome
SNRPD2,SRRM2,Spliceosome
SNRPD2,WBP11,Spliceosome
SNRPD3,TCERG1,Spliceosome
SNRPD3,U2SURP,Spliceosome
SNRPD3,ZNF207,Spliceosome
SNRPD3,SYF2,Spliceosome
SNRPD3,U2AF2,Spliceosome
SNRPD3,SNU13,Spliceosome
SNRPD3,SNRPE,Spliceosome
SNRPD3,SNRPF,Spliceosome
SNRPD3,SNRPG,Spliceosome
SNRPD3,TRA2B,Spliceosome
SNRPD3,TXNL4A,Spliceosome
SNRPD3,SRSF3,Spliceosome
SNRPD3,U2AF1,Spliceosome
SNRPD3,SRSF2,Spliceosome
SNRPD3,SRSF11,Spliceosome
SNRPD3,SRSF1,Spliceosome
SNRPD3,SRSF4,Spliceosome
SNRPD3,SRSF9,Spliceosome
SNRPD3,SRSF5,Spliceosome
SNRPD3,SRSF6,Spliceosome
SNRPD3,SNW1,Spliceosome
SNRPD3,THOC5,Spliceosome
SNRPD3,WTAP,Spliceosome
SNRPD3,SRSF7,Spliceosome
SNRPD3,USP39,Spliceosome
SNRPD3,THOC7,Spliceosome
SNRPD3,THOC6,Spliceosome
SNRPD3,SRRM1,Spliceosome
SNRPD3,THOC2,Spliceosome
SNRPD3,THOC1,Spliceosome
SNRPD3,THOC3,Spliceosome
SNRPD3,SPEN,Spliceosome
SNRPD3,SRRT,Spliceosome
SNRPD3,XAB2,Spliceosome
SNRPD3,TFIP11,Spliceosome
SNRPD3,SRRM2,Spliceosome
SNRPD3,WBP11,Spliceosome
TRA2B,U2SURP,Spliceosome
TRA2B,ZNF207,Spliceosome
TRA2B,U2AF2,Spliceosome
TRA2B,TXNL4A,Spliceosome
TRA2B,U2AF1,Spliceosome
TRA2B,WTAP,Spliceosome
TRA2B,USP39,Spliceosome
TRA2B,XAB2,Spliceosome
TRA2B,WBP11,Spliceosome
TXNL4A,U2SURP,Spliceosome
TXNL4A,ZNF207,Spliceosome
TXNL4A,U2AF2,Spliceosome
TXNL4A,U2AF1,Spliceosome
TXNL4A,WTAP,Spliceosome
TXNL4A,USP39,Spliceosome
TXNL4A,XAB2,Spliceosome
TXNL4A,WBP11,Spliceosome
SRSF3,TCERG1,Spliceosome
SRSF3,U2SURP,Spliceosome
SRSF3,ZNF207,Spliceosome
SRSF3,SYF2,Spliceosome
SRSF3,U2AF2,Spliceosome
SRSF3,TRA2B,Spliceosome
SRSF3,TXNL4A,Spliceosome
SRSF3,U2AF1,Spliceosome
SRSF3,SRSF4,Spliceosome
SRSF3,SRSF9,Spliceosome
SRSF3,SRSF5,Spliceosome
SRSF3,SRSF6,Spliceosome
SRSF3,THOC5,Spliceosome
SRSF3,WTAP,Spliceosome
SRSF3,SRSF7,Spliceosome
SRSF3,USP39,Spliceosome
SRSF3,THOC7,Spliceosome
SRSF3,THOC6,Spliceosome
SRSF3,THOC2,Spliceosome
SRSF3,THOC1,Spliceosome
SRSF3,THOC3,Spliceosome
SRSF3,XAB2,Spliceosome
SRSF3,TFIP11,Spliceosome
SRSF3,WBP11,Spliceosome
U2AF1,U2SURP,Spliceosome
U2AF1,ZNF207,Spliceosome
U2AF1,U2AF2,Spliceosome
U2AF1,WTAP,Spliceosome
U2AF1,USP39,Spliceosome
U2AF1,XAB2,Spliceosome
U2AF1,WBP11,Spliceosome
SRSF2,TCERG1,Spliceosome
SRSF2,U2SURP,Spliceosome
SRSF2,ZNF207,Spliceosome
SRSF2,SYF2,Spliceosome
SRSF2,U2AF2,Spliceosome
SRSF2,TRA2B,Spliceosome
SRSF2,TXNL4A,Spliceosome
SRSF2,SRSF3,Spliceosome
SRSF2,U2AF1,Spliceosome
SRSF2,SRSF4,Spliceosome
SRSF2,SRSF9,Spliceosome
SRSF2,SRSF5,Spliceosome
SRSF2,SRSF6,Spliceosome
SRSF2,THOC5,Spliceosome
SRSF2,WTAP,Spliceosome
SRSF2,SRSF7,Spliceosome
SRSF2,USP39,Spliceosome
SRSF2,THOC7,Spliceosome
SRSF2,THOC6,Spliceosome
SRSF2,THOC2,Spliceosome
SRSF2,THOC1,Spliceosome
SRSF2,THOC3,Spliceosome
SRSF2,XAB2,Spliceosome
SRSF2,TFIP11,Spliceosome
SRSF2,WBP11,Spliceosome
SRSF11,TCERG1,Spliceosome
SRSF11,U2SURP,Spliceosome
SRSF11,ZNF207,Spliceosome
SRSF11,SYF2,Spliceosome
SRSF11,U2AF2,Spliceosome
SRSF11,TRA2B,Spliceosome
SRSF11,TXNL4A,Spliceosome
SRSF11,SRSF3,Spliceosome
SRSF11,U2AF1,Spliceosome
SRSF11,SRSF2,Spliceosome
SRSF11,SRSF4,Spliceosome
SRSF11,SRSF9,Spliceosome
SRSF11,SRSF5,Spliceosome
SRSF11,SRSF6,Spliceosome
SRSF11,THOC5,Spliceosome
SRSF11,WTAP,Spliceosome
SRSF11,SRSF7,Spliceosome
SRSF11,USP39,Spliceosome
SRSF11,THOC7,Spliceosome
SRSF11,THOC6,Spliceosome
SRSF11,THOC2,Spliceosome
SRSF11,THOC1,Spliceosome
SRSF11,THOC3,Spliceosome
SRSF11,XAB2,Spliceosome
SRSF11,TFIP11,Spliceosome
SRSF11,WBP11,Spliceosome
SRSF1,TCERG1,Spliceosome
SRSF1,U2SURP,Spliceosome
SRSF1,ZNF207,Spliceosome
SRSF1,SYF2,Spliceosome
SRSF1,U2AF2,Spliceosome
SRSF1,TRA2B,Spliceosome
SRSF1,TXNL4A,Spliceosome
SRSF1,SRSF3,Spliceosome
SRSF1,U2AF1,Spliceosome
SRSF1,SRSF2,Spliceosome
SRSF1,SRSF11,Spliceosome
SRSF1,SRSF4,Spliceosome
SRSF1,SRSF9,Spliceosome
SRSF1,SRSF5,Spliceosome
SRSF1,SRSF6,Spliceosome
SRSF1,THOC5,Spliceosome
SRSF1,WTAP,Spliceosome
SRSF1,SRSF7,Spliceosome
SRSF1,USP39,Spliceosome
SRSF1,THOC7,Spliceosome
SRSF1,THOC6,Spliceosome
SRSF1,THOC2,Spliceosome
SRSF1,THOC1,Spliceosome
SRSF1,THOC3,Spliceosome
SRSF1,XAB2,Spliceosome
SRSF1,TFIP11,Spliceosome
SRSF1,WBP11,Spliceosome
SRSF4,TCERG1,Spliceosome
SRSF4,U2SURP,Spliceosome
SRSF4,ZNF207,Spliceosome
SRSF4,SYF2,Spliceosome
SRSF4,U2AF2,Spliceosome
SRSF4,TRA2B,Spliceosome
SRSF4,TXNL4A,Spliceosome
SRSF4,U2AF1,Spliceosome
SRSF4,SRSF9,Spliceosome
SRSF4,SRSF5,Spliceosome
SRSF4,SRSF6,Spliceosome
SRSF4,THOC5,Spliceosome
SRSF4,WTAP,Spliceosome
SRSF4,SRSF7,Spliceosome
SRSF4,USP39,Spliceosome
SRSF4,THOC7,Spliceosome
SRSF4,THOC6,Spliceosome
SRSF4,THOC2,Spliceosome
SRSF4,THOC1,Spliceosome
SRSF4,THOC3,Spliceosome
SRSF4,XAB2,Spliceosome
SRSF4,TFIP11,Spliceosome
SRSF4,WBP11,Spliceosome
DHX9,IGF2BP3,Spliceosome
DHX9,TCERG1,Spliceosome
DHX9,U2SURP,Spliceosome
DHX9,PPM1G,Spliceosome
DHX9,PRPF4,Spliceosome
DHX9,SART1,Spliceosome
DHX9,PRPF3,Spliceosome
DHX9,PPIH,Spliceosome
DHX9,PLRG1,Spliceosome
DHX9,ZNF207,Spliceosome
DHX9,HTATSF1,Spliceosome
DHX9,NUDT21,Spliceosome
DHX9,PRPF40A,Spliceosome
DHX9,SF3B1,Spliceosome
DHX9,SNRNP200,Spliceosome
DHX9,DNAJC8,Spliceosome
DHX9,SMNDC1,Spliceosome
DHX9,PRPF6,Spliceosome
DHX9,LUC7L3,Spliceosome
DHX9,SLU7,Spliceosome
DHX9,SYF2,Spliceosome
DHX9,SNRPB2,Spliceosome
DHX9,SNRNP70,Spliceosome
DHX9,SNRPA,Spliceosome
DHX9,SNRPC,Spliceosome
DHX9,SNRPA1,Spliceosome
DHX9,PABPC1,Spliceosome
DHX9,SNRPB,Spliceosome
DHX9,U2AF2,Spliceosome
DHX9,EIF4A3,Spliceosome
DHX9,MTREX,Spliceosome
DHX9,RBM25,Spliceosome
DHX9,NCBP2,Spliceosome
DHX9,MFAP1,Spliceosome
DHX9,SNU13,Spliceosome
DHX9,MAGOH,Spliceosome
DHX9,SNRPE,Spliceosome
DHX9,SNRPF,Spliceosome
DHX9,SNRPG,Spliceosome
DHX9,LSM3,Spliceosome
DHX9,LSM6,Spliceosome
DHX9,SNRPD1,Spliceosome
DHX9,SNRPD2,Spliceosome
DHX9,SNRPD3,Spliceosome
DHX9,TRA2B,Spliceosome
DHX9,TXNL4A,Spliceosome
DHX9,SRSF3,Spliceosome
DHX9,U2AF1,Spliceosome
DHX9,SRSF2,Spliceosome
DHX9,SRSF11,Spliceosome
DHX9,SRSF1,Spliceosome
DHX9,SRSF4,Spliceosome
DHX9,NCBP1,Spliceosome
DHX9,SF3A3,Spliceosome
DHX9,IK,Spliceosome
DHX9,SRSF9,Spliceosome
DHX9,SRSF5,Spliceosome
DHX9,SRSF6,Spliceosome
DHX9,PPIL2,Spliceosome
DHX9,SF3B2,Spliceosome
DHX9,PRPF4B,Spliceosome
DHX9,SNW1,Spliceosome
DHX9,THOC5,Spliceosome
DHX9,RBM39,Spliceosome
DHX9,WTAP,Spliceosome
DHX9,EFTUD2,Spliceosome
DHX9,RNPS1,Spliceosome
DHX9,SF3B3,Spliceosome
DHX9,SF3B4,Spliceosome
DHX9,SF3A2,Spliceosome
DHX9,SF3A1,Spliceosome
DHX9,SF1,Spliceosome
DHX9,SRSF7,Spliceosome
DHX9,SMU1,Spliceosome
DHX9,FNBP3,Spliceosome
DHX9,USP39,Spliceosome
DHX9,KIAA1429,Spliceosome
DHX9,THOC7,Spliceosome
DHX9,PRPF8,Spliceosome
DHX9,THOC6,Spliceosome
DHX9,SRRM1,Spliceosome
DHX9,THOC2,Spliceosome
DHX9,SNRNP27,Spliceosome
DHX9,PRPF31,Spliceosome
DHX9,PPWD1,Spliceosome
DHX9,SNRNP40,Spliceosome
DHX9,THOC1,Spliceosome
DHX9,RBM17,Spliceosome
DHX9,THOC3,Spliceosome
DHX9,RBM15,Spliceosome
DHX9,SPEN,Spliceosome
DHX9,PRPF18,Spliceosome
DHX9,SRRT,Spliceosome
DHX9,PPIL3,Spliceosome
DHX9,MOV10,Spliceosome
DHX9,XAB2,Spliceosome
DHX9,RBM22,Spliceosome
DHX9,TFIP11,Spliceosome
DHX9,PUF60,Spliceosome
DHX9,LSM7,Spliceosome
DHX9,ISY1,Spliceosome
DHX9,PRPF19,Spliceosome
DHX9,PPIE,Spliceosome
DHX9,SRRM2,Spliceosome
DHX9,WBP11,Spliceosome
DHX9,LSM2,Spliceosome
DHX9,SF3B6,Spliceosome
DHX9,PPIL1,Spliceosome
DHX9,LSM4,Spliceosome
DHX9,PAXBP1,Spliceosome
DHX9,RBM8A,Spliceosome
NCBP1,TCERG1,Spliceosome
NCBP1,U2SURP,Spliceosome
NCBP1,PPM1G,Spliceosome
NCBP1,PRPF4,Spliceosome
NCBP1,SART1,Spliceosome
NCBP1,PRPF3,Spliceosome
NCBP1,PPIH,Spliceosome
NCBP1,PLRG1,Spliceosome
NCBP1,ZNF207,Spliceosome
NCBP1,NUDT21,Spliceosome
NCBP1,PRPF40A,Spliceosome
NCBP1,SF3B1,Spliceosome
NCBP1,SNRNP200,Spliceosome
NCBP1,SMNDC1,Spliceosome
NCBP1,PRPF6,Spliceosome
NCBP1,SLU7,Spliceosome
NCBP1,SYF2,Spliceosome
NCBP1,SNRPB2,Spliceosome
NCBP1,SNRNP70,Spliceosome
NCBP1,SNRPA,Spliceosome
NCBP1,SNRPC,Spliceosome
NCBP1,SNRPA1,Spliceosome
NCBP1,PABPC1,Spliceosome
NCBP1,SNRPB,Spliceosome
NCBP1,U2AF2,Spliceosome
NCBP1,RBM25,Spliceosome
NCBP1,NCBP2,Spliceosome
NCBP1,SNU13,Spliceosome
NCBP1,SNRPE,Spliceosome
NCBP1,SNRPF,Spliceosome
NCBP1,SNRPG,Spliceosome
NCBP1,SNRPD1,Spliceosome
NCBP1,SNRPD2,Spliceosome
NCBP1,SNRPD3,Spliceosome
NCBP1,TRA2B,Spliceosome
NCBP1,TXNL4A,Spliceosome
NCBP1,SRSF3,Spliceosome
NCBP1,U2AF1,Spliceosome
NCBP1,SRSF2,Spliceosome
NCBP1,SRSF11,Spliceosome
NCBP1,SRSF1,Spliceosome
NCBP1,SRSF4,Spliceosome
NCBP1,SF3A3,Spliceosome
NCBP1,SRSF9,Spliceosome
NCBP1,SRSF5,Spliceosome
NCBP1,SRSF6,Spliceosome
NCBP1,PPIL2,Spliceosome
NCBP1,SF3B2,Spliceosome
NCBP1,PRPF4B,Spliceosome
NCBP1,SNW1,Spliceosome
NCBP1,THOC5,Spliceosome
NCBP1,RBM39,Spliceosome
NCBP1,WTAP,Spliceosome
NCBP1,RNPS1,Spliceosome
NCBP1,SF3B3,Spliceosome
NCBP1,SF3B4,Spliceosome
NCBP1,SF3A2,Spliceosome
NCBP1,SF3A1,Spliceosome
NCBP1,SF1,Spliceosome
NCBP1,SRSF7,Spliceosome
NCBP1,SMU1,Spliceosome
NCBP1,USP39,Spliceosome
NCBP1,THOC7,Spliceosome
NCBP1,PRPF8,Spliceosome
NCBP1,THOC6,Spliceosome
NCBP1,SRRM1,Spliceosome
NCBP1,THOC2,Spliceosome
NCBP1,SNRNP27,Spliceosome
NCBP1,PRPF31,Spliceosome
NCBP1,PPWD1,Spliceosome
NCBP1,SNRNP40,Spliceosome
NCBP1,THOC1,Spliceosome
NCBP1,RBM17,Spliceosome
NCBP1,THOC3,Spliceosome
NCBP1,RBM15,Spliceosome
NCBP1,SPEN,Spliceosome
NCBP1,PRPF18,Spliceosome
NCBP1,SRRT,Spliceosome
NCBP1,PPIL3,Spliceosome
NCBP1,XAB2,Spliceosome
NCBP1,RBM22,Spliceosome
NCBP1,TFIP11,Spliceosome
NCBP1,PUF60,Spliceosome
NCBP1,PRPF19,Spliceosome
NCBP1,PPIE,Spliceosome
NCBP1,SRRM2,Spliceosome
NCBP1,WBP11,Spliceosome
NCBP1,SF3B6,Spliceosome
NCBP1,PPIL1,Spliceosome
NCBP1,PAXBP1,Spliceosome
NCBP1,RBM8A,Spliceosome
SF3A3,TCERG1,Spliceosome
SF3A3,U2SURP,Spliceosome
SF3A3,ZNF207,Spliceosome
SF3A3,SF3B1,Spliceosome
SF3A3,SNRNP200,Spliceosome
SF3A3,SMNDC1,Spliceosome
SF3A3,SLU7,Spliceosome
SF3A3,SYF2,Spliceosome
SF3A3,SNRPB2,Spliceosome
SF3A3,SNRNP70,Spliceosome
SF3A3,SNRPA,Spliceosome
SF3A3,SNRPC,Spliceosome
SF3A3,SNRPA1,Spliceosome
SF3A3,SNRPB,Spliceosome
SF3A3,U2AF2,Spliceosome
SF3A3,SNU13,Spliceosome
SF3A3,SNRPE,Spliceosome
SF3A3,SNRPF,Spliceosome
SF3A3,SNRPG,Spliceosome
SF3A3,SNRPD1,Spliceosome
SF3A3,SNRPD2,Spliceosome
SF3A3,SNRPD3,Spliceosome
SF3A3,TRA2B,Spliceosome
SF3A3,TXNL4A,Spliceosome
SF3A3,SRSF3,Spliceosome
SF3A3,U2AF1,Spliceosome
SF3A3,SRSF2,Spliceosome
SF3A3,SRSF11,Spliceosome
SF3A3,SRSF1,Spliceosome
SF3A3,SRSF4,Spliceosome
SF3A3,SRSF9,Spliceosome
SF3A3,SRSF5,Spliceosome
SF3A3,SRSF6,Spliceosome
SF3A3,SF3B2,Spliceosome
SF3A3,SNW1,Spliceosome
SF3A3,THOC5,Spliceosome
SF3A3,WTAP,Spliceosome
SF3A3,SF3B3,Spliceosome
SF3A3,SF3B4,Spliceosome
SF3A3,SRSF7,Spliceosome
SF3A3,SMU1,Spliceosome
SF3A3,USP39,Spliceosome
SF3A3,THOC7,Spliceosome
SF3A3,THOC6,Spliceosome
SF3A3,SRRM1,Spliceosome
SF3A3,THOC2,Spliceosome
SF3A3,SNRNP27,Spliceosome
SF3A3,SNRNP40,Spliceosome
SF3A3,THOC1,Spliceosome
SF3A3,THOC3,Spliceosome
SF3A3,SPEN,Spliceosome
SF3A3,SRRT,Spliceosome
SF3A3,XAB2,Spliceosome
SF3A3,TFIP11,Spliceosome
SF3A3,SRRM2,Spliceosome
SF3A3,WBP11,Spliceosome
SF3A3,SF3B6,Spliceosome
IK,TCERG1,Spliceosome
IK,U2SURP,Spliceosome
IK,PPM1G,Spliceosome
IK,PRPF4,Spliceosome
IK,SART1,Spliceosome
IK,PRPF3,Spliceosome
IK,PPIH,Spliceosome
IK,PLRG1,Spliceosome
IK,ZNF207,Spliceosome
IK,NUDT21,Spliceosome
IK,PRPF40A,Spliceosome
IK,SF3B1,Spliceosome
IK,SNRNP200,Spliceosome
IK,SMNDC1,Spliceosome
IK,PRPF6,Spliceosome
IK,LUC7L3,Spliceosome
IK,SLU7,Spliceosome
IK,SYF2,Spliceosome
IK,SNRPB2,Spliceosome
IK,SNRNP70,Spliceosome
IK,SNRPA,Spliceosome
IK,SNRPC,Spliceosome
IK,SNRPA1,Spliceosome
IK,PABPC1,Spliceosome
IK,SNRPB,Spliceosome
IK,U2AF2,Spliceosome
IK,MTREX,Spliceosome
IK,RBM25,Spliceosome
IK,NCBP2,Spliceosome
IK,MFAP1,Spliceosome
IK,SNU13,Spliceosome
IK,MAGOH,Spliceosome
IK,SNRPE,Spliceosome
IK,SNRPF,Spliceosome
IK,SNRPG,Spliceosome
IK,LSM3,Spliceosome
IK,LSM6,Spliceosome
IK,SNRPD1,Spliceosome
IK,SNRPD2,Spliceosome
IK,SNRPD3,Spliceosome
IK,TRA2B,Spliceosome
IK,TXNL4A,Spliceosome
IK,SRSF3,Spliceosome
IK,U2AF1,Spliceosome
IK,SRSF2,Spliceosome
IK,SRSF11,Spliceosome
IK,SRSF1,Spliceosome
IK,SRSF4,Spliceosome
IK,NCBP1,Spliceosome
IK,SF3A3,Spliceosome
IK,SRSF9,Spliceosome
IK,SRSF5,Spliceosome
IK,SRSF6,Spliceosome
IK,PPIL2,Spliceosome
IK,SF3B2,Spliceosome
IK,PRPF4B,Spliceosome
IK,SNW1,Spliceosome
IK,THOC5,Spliceosome
IK,RBM39,Spliceosome
IK,WTAP,Spliceosome
IK,RNPS1,Spliceosome
IK,SF3B3,Spliceosome
IK,SF3B4,Spliceosome
IK,SF3A2,Spliceosome
IK,SF3A1,Spliceosome
IK,SF1,Spliceosome
IK,SRSF7,Spliceosome
IK,SMU1,Spliceosome
IK,USP39,Spliceosome
IK,KIAA1429,Spliceosome
IK,THOC7,Spliceosome
IK,PRPF8,Spliceosome
IK,THOC6,Spliceosome
IK,SRRM1,Spliceosome
IK,THOC2,Spliceosome
IK,SNRNP27,Spliceosome
IK,PRPF31,Spliceosome
IK,PPWD1,Spliceosome
IK,SNRNP40,Spliceosome
IK,THOC1,Spliceosome
IK,RBM17,Spliceosome
IK,THOC3,Spliceosome
IK,RBM15,Spliceosome
IK,SPEN,Spliceosome
IK,PRPF18,Spliceosome
IK,SRRT,Spliceosome
IK,PPIL3,Spliceosome
IK,MOV10,Spliceosome
IK,XAB2,Spliceosome
IK,RBM22,Spliceosome
IK,TFIP11,Spliceosome
IK,PUF60,Spliceosome
IK,LSM7,Spliceosome
IK,ISY1,Spliceosome
IK,PRPF19,Spliceosome
IK,PPIE,Spliceosome
IK,SRRM2,Spliceosome
IK,WBP11,Spliceosome
IK,LSM2,Spliceosome
IK,SF3B6,Spliceosome
IK,PPIL1,Spliceosome
IK,LSM4,Spliceosome
IK,PAXBP1,Spliceosome
IK,RBM8A,Spliceosome
SRSF9,TCERG1,Spliceosome
SRSF9,U2SURP,Spliceosome
SRSF9,ZNF207,Spliceosome
SRSF9,SYF2,Spliceosome
SRSF9,U2AF2,Spliceosome
SRSF9,TRA2B,Spliceosome
SRSF9,TXNL4A,Spliceosome
SRSF9,U2AF1,Spliceosome
SRSF9,THOC5,Spliceosome
SRSF9,WTAP,Spliceosome
SRSF9,USP39,Spliceosome
SRSF9,THOC7,Spliceosome
SRSF9,THOC6,Spliceosome
SRSF9,THOC2,Spliceosome
SRSF9,THOC1,Spliceosome
SRSF9,THOC3,Spliceosome
SRSF9,XAB2,Spliceosome
SRSF9,TFIP11,Spliceosome
SRSF9,WBP11,Spliceosome
SRSF5,TCERG1,Spliceosome
SRSF5,U2SURP,Spliceosome
SRSF5,ZNF207,Spliceosome
SRSF5,SYF2,Spliceosome
SRSF5,U2AF2,Spliceosome
SRSF5,TRA2B,Spliceosome
SRSF5,TXNL4A,Spliceosome
SRSF5,U2AF1,Spliceosome
SRSF5,SRSF9,Spliceosome
SRSF5,SRSF6,Spliceosome
SRSF5,THOC5,Spliceosome
SRSF5,WTAP,Spliceosome
SRSF5,SRSF7,Spliceosome
SRSF5,USP39,Spliceosome
SRSF5,THOC7,Spliceosome
SRSF5,THOC6,Spliceosome
SRSF5,THOC2,Spliceosome
SRSF5,THOC1,Spliceosome
SRSF5,THOC3,Spliceosome
SRSF5,XAB2,Spliceosome
SRSF5,TFIP11,Spliceosome
