domain,total_domain_protein_count,groups,group_count,average_domain_protein_count_per_group,mean_coverage,std_coverage
Calpain subdomain III,1,47,1,1.0,0.047619047619047616,0.0
Calponin homology domain,30,11; 12; 13; 31; 50; 57; 72; 91; 95; 99; 112; 133; 135; 137; 145; 153; 155; 165; 200; 202; 203; 220; 222; 223; 231,25,1.2,0.1285071059961498,0.12228148602757076
Calponin repeat,3,11; 145; 222,3,1.0,0.08148148148148147,0.03059761415158945
Calponin/LIMCH1,2,11; 145,2,1.0,0.06666666666666667,0.02357022603955158
Calreticulin,1,234,1,1.0,0.010416666666666666,0.0
Calreticulin/calnexin,3,41; 197; 234,3,1.0,0.07184829059829059,0.08330379366319814
"Calreticulin/calnexin, P domain superfamily",3,41; 197; 234,3,1.0,0.07184829059829059,0.08330379366319814
"Calreticulin/calnexin, conserved site",3,41; 197; 234,3,1.0,0.07184829059829059,0.08330379366319814
Calycin,1,206,1,1.0,0.06666666666666667,0.0
Caprin,1,127,1,1.0,0.1,0.0
Caprin-1 dimerization domain,1,127,1,1.0,0.1,0.0
"Carbamoyl-phosphate synthase large subunit, CPSase domain",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthase small subunit, GATase1 domain",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthase small subunit, N-terminal domain",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthase small subunit, N-terminal domain superfamily",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthase, large subunit",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthase, small subunit",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain",2,54; 100,2,1.0,0.07272727272727272,0.038569460791993505
"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain",1,54,1,1.0,0.045454545454545456,0.0
"Carbamoyl-phosphate synthetase, large subunit oligomerisation domain superfamily",1,54,1,1.0,0.045454545454545456,0.0
Carbohydrate sulfotransferase 8-10,1,207,1,1.0,0.09090909090909091,0.0
Carbohydrate-binding-like fold,3,75; 97; 129,3,1.0,0.04920469058400093,0.03663363131128363
"Carboxypeptidase D, carboxypeptidase-like domain 2",1,193,1,1.0,0.05,0.0
"Carboxypeptidase D, carboxypeptidase-like domain 3",1,193,1,1.0,0.05,0.0
"Carboxypeptidase-like, regulatory domain superfamily",3,75; 97; 193,3,1.0,0.03556832694763729,0.013920670907404398
"Carnitine O-palmitoyltransferase, N-terminal",1,57,1,1.0,0.08333333333333333,0.0
"Casein kinase substrate, phosphoprotein PP28",1,149,1,1.0,0.030303030303030304,0.0
Caspase recruitment domain,1,107,1,1.0,0.037037037037037035,0.0
Caspase-like domain superfamily,1,149,1,1.0,0.030303030303030304,0.0
"Catechol O-methyltransferase, eukaryotic",1,222,1,1.0,0.1111111111111111,0.0
Catenin binding domain superfamily,6,99; 111; 134; 138; 148; 226,6,1.0,0.05501003626003626,0.02155961931678676
Cathepsin D,1,113,1,1.0,0.125,0.0
Cation efflux protein,5,46; 65; 121; 138; 149,5,1.0,0.07294657097288676,0.05370394898142564
"Cation efflux protein, cytoplasmic domain superfamily",1,149,1,1.0,0.030303030303030304,0.0
Cation efflux transmembrane domain superfamily,5,46; 65; 121; 138; 149,5,1.0,0.07294657097288676,0.05370394898142564
Cation-independent mannose-6-phosphate receptor repeat,1,127,1,1.0,0.1,0.0
"Cation-transporting P-type ATPase, C-terminal",7,77; 78; 79; 107; 117; 144,6,1.1666666666666667,0.14254942588275923,0.1789176679241417
"Cation-transporting P-type ATPase, N-terminal",7,77; 78; 79; 107; 117; 144,6,1.1666666666666667,0.14254942588275923,0.1789176679241417
Cation/H+ exchanger,2,75; 123,2,1.0,0.040522875816993466,0.025881032514017428
Caveolin,1,95,1,1.0,0.03225806451612903,0.0
"Caveolin, conserved site",1,95,1,1.0,0.03225806451612903,0.0
Cavin family,2,14; 145,2,1.0,0.09642857142857142,0.06565991539589369
Cdc42,1,109,1,1.0,0.07692307692307693,0.0
Cdc42 effector-like,2,7; 208,2,1.0,0.16346153846153846,0.12238386597459476
Cdc73/Parafibromin,2,92; 118,2,1.0,0.1,0.0
Cell cycle and apoptosis regulator protein,2,160; 228,2,1.0,0.08391608391608392,0.009889605331280384
"Cell division control protein 73, C-terminal",2,92; 118,2,1.0,0.1,0.0
"Cell division control protein 73, C-terminal domain superfamily",2,92; 118,2,1.0,0.1,0.0
Cell growth-regulating nucleolar protein,1,43,1,1.0,0.125,0.0
"Centromere protein CENP-B, C-terminal domain",1,14,1,1.0,0.14285714285714285,0.0
"Centromere/kinetochore protein zw10, C-terminal domain",1,149,1,1.0,0.030303030303030304,0.0
"Centromere/kinetochore protein zw10, N-terminal",1,149,1,1.0,0.030303030303030304,0.0
"Centromere/kinetochore protein zw10, middle domain",1,149,1,1.0,0.030303030303030304,0.0
Centrosome-associated protein 350/Coiled-coil domain-containing protein 187,1,123,1,1.0,0.058823529411764705,0.0
Ceramide glucosyltransferase,1,147,1,1.0,0.07142857142857142,0.0
Ceroid-lipofuscinosis neuronal protein 6,1,97,1,1.0,0.034482758620689655,0.0
Chaperone DnaJ,2,65; 75,2,1.0,0.03742690058479532,0.021502662351871617
"Chaperone DnaJ, C-terminal",3,65; 75; 211,3,1.0,0.10828460038986354,0.12366738902841282
Chaperone DnaK,1,69,1,1.0,0.027777777777777776,0.0
Chaperone J-domain superfamily,17,11; 25; 27; 35; 47; 48; 65; 69; 73; 75; 99; 104; 144; 154; 169; 211,16,1.0625,0.13886058939645526,0.14983472423209332
Chaperone tailless complex polypeptide 1 (TCP-1),9,67; 73; 107; 109; 114; 127; 139; 148; 156,9,1.0,0.06336970642526198,0.019073187109789346
"Chaperonin Cpn60, conserved site",2,118; 145,2,1.0,0.07500000000000001,0.03535533905932738
Chaperonin Cpn60/GroEL,2,118; 145,2,1.0,0.07500000000000001,0.03535533905932738
Chaperonin Cpn60/GroEL/TCP-1 family,11,67; 73; 107; 109; 114; 118; 127; 139; 145; 148; 156,11,1.0,0.06548430525703253,0.020932349077580573
"Chaperonin TCP-1, conserved site",9,67; 73; 107; 109; 114; 127; 139; 148; 156,9,1.0,0.06336970642526198,0.019073187109789346
Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like,1,133,1,1.0,0.07692307692307693,0.0
Chloramphenicol acetyltransferase-like domain superfamily,5,57; 85; 94; 116; 117,5,1.0,0.11687747035573123,0.06437260445369479
Chloride channel CLIC-like,1,209,1,1.0,0.07692307692307693,0.0
Chloride channel ClC-7,1,115,1,1.0,0.3333333333333333,0.0
"Chloride channel, core",1,115,1,1.0,0.3333333333333333,0.0
"Chloride channel, voltage gated",1,115,1,1.0,0.3333333333333333,0.0
"Choline/Carnitine o-acyltransferase, domain 2",1,57,1,1.0,0.08333333333333333,0.0
Choline/carnitine acyltransferase domain,1,57,1,1.0,0.08333333333333333,0.0
Choline/ethanolamine phosphotransferase,1,79,1,1.0,0.038461538461538464,0.0
Chondroitin N-acetylgalactosaminyltransferase,4,79; 81; 101; 147,4,1.0,0.18372252747252746,0.2138460991410883
"Chromatin target of PRMT1 protein, C-terminal",3,98; 120; 151,3,1.0,0.08442265795206971,0.07289730722540322
Chromatin-remodeling complex component Sfh1/SNF5,2,13; 173,2,1.0,0.11470588235294119,0.12062409796711693
Chromo domain,2,151; 222,2,1.0,0.08496732026143791,0.03697290359145346
Chromo-like domain superfamily,4,127; 151; 170; 222,4,1.0,0.11748366013071895,0.05943131899922044
Chromo/chromo shadow domain,4,151; 193; 222,3,1.3333333333333333,0.08997821350762526,0.027546777549570384
Chromodomain-helicase-DNA-binding protein 8,1,151,1,1.0,0.058823529411764705,0.0
Chromosome region maintenance repeat,1,61,1,1.0,0.08333333333333333,0.0
Circularly permuted (CP)-type guanine nucleotide-binding (G) domain,5,60; 75; 136; 189; 202,5,1.0,0.049203315009162085,0.024078571260660427
Citrate synthase,2,107; 157,2,1.0,0.05185185185185185,0.020951312035156964
Citrate synthase active site,1,157,1,1.0,0.06666666666666667,0.0
Citrate synthase superfamily,2,107; 157,2,1.0,0.05185185185185185,0.020951312035156964
"Citrate synthase, eukaryotic-type",1,157,1,1.0,0.06666666666666667,0.0
"Citrate synthase-like, large alpha subdomain",1,157,1,1.0,0.06666666666666667,0.0
"Citrate synthase-like, small alpha subdomain",2,107; 157,2,1.0,0.05185185185185185,0.020951312035156964
Citron homology (CNH) domain,2,22; 24,2,1.0,0.12631578947368421,0.10420520985907017
"Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm",1,151,1,1.0,0.058823529411764705,0.0
Class I glutamine amidotransferase-like,1,54,1,1.0,0.045454545454545456,0.0
Class I myosin tail homology domain,5,95; 157; 202; 204,4,1.25,0.17147031323048154,0.22018037345647717
"Class I myosin, motor domain",5,95; 157; 202; 204,4,1.25,0.17147031323048154,0.22018037345647717
Class I-like SAM-dependent O-methyltransferase,1,222,1,1.0,0.1111111111111111,0.0
Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL),9,60; 114; 136; 145; 151; 192; 197; 220,8,1.125,0.06830804647234667,0.03310897936667118
Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain,1,220,1,1.0,0.04,0.0
Class II aldolase/adducin N-terminal,2,43; 85,2,1.0,0.08423913043478261,0.05764457455325116
Class II aldolase/adducin N-terminal domain superfamily,2,43; 85,2,1.0,0.08423913043478261,0.05764457455325116
"Class V myosin, motor domain",1,130,1,1.0,0.07692307692307693,0.0
"Class VI myosin, motor domain",2,51; 164,2,1.0,0.19444444444444442,0.19641855032959654
"Class XVIII myosin, motor domain",1,121,1,1.0,0.16666666666666666,0.0
"Classical Protein Kinase C alpha, catalytic domain",2,186; 195,2,1.0,0.2222222222222222,0.15713484026367722
"Clathrin adaptor complex, small chain",2,142; 157,2,1.0,0.08888888888888888,0.031426968052735434
"Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain",2,124; 128,2,1.0,0.10096153846153846,0.03399551832627632
"Clathrin adaptor, alpha/beta/gamma-adaptin, appendage, Ig-like subdomain",3,1; 124; 128,3,1.0,0.08691553544494722,0.03420114377272149
"Clathrin adaptor, appendage, Ig-like subdomain superfamily",3,1; 124; 128,3,1.0,0.08691553544494722,0.03420114377272149
"Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain",1,1,1,1.0,0.058823529411764705,0.0
"Clathrin adaptor, mu subunit",2,1; 234,2,1.0,0.03462009803921569,0.03422882090302528
"Clathrin adaptor, mu subunit, conserved site",2,1; 234,2,1.0,0.03462009803921569,0.03422882090302528
Clathrin coat assembly protein AP180-like,3,41; 75; 229,3,1.0,0.17407407407407405,0.15568777449617555
"Clathrin heavy chain, N-terminal",1,157,1,1.0,0.06666666666666667,0.0
Clathrin light chain,3,48; 111; 132,3,1.0,0.053080730500085334,0.01970217557113457
"Clathrin, heavy chain",1,157,1,1.0,0.06666666666666667,0.0
"Clathrin, heavy chain, linker, core motif",1,157,1,1.0,0.06666666666666667,0.0
"Clathrin, heavy chain, propeller repeat",1,157,1,1.0,0.06666666666666667,0.0
"Clathrin, heavy chain/VPS, 7-fold repeat",1,157,1,1.0,0.06666666666666667,0.0
"Clathrin/coatomer adaptor, adaptin-like, N-terminal",6,1; 61; 124; 128; 234,5,1.2,0.07298265460030165,0.037909432320525176
"Cleavage and polyadenylation specificity factor 2, C-terminal",1,73,1,1.0,0.045454545454545456,0.0
Cleavage and polyadenylation specificity factor subunit 2,1,73,1,1.0,0.045454545454545456,0.0
"Cleavage and polyadenylation specificity factor subunit 6, RNA recognition motif",1,15,1,1.0,0.06666666666666667,0.0
"Cleavage stimulation factor subunit 1, dimerisation domain",1,220,1,1.0,0.04,0.0
Cleavage stimulation factor subunit 1-like,1,220,1,1.0,0.04,0.0
"Cleavage stimulation factor subunit 2, hinge domain",1,200,1,1.0,0.1111111111111111,0.0
Cleavage/polyadenylation specificity factor subunit 5,1,127,1,1.0,0.1,0.0
"Cleavage/polyadenylation specificity factor, A subunit, C-terminal",2,48; 57,2,1.0,0.05779569892473118,0.03611566893157098
"Cleavage/polyadenylation specificity factor, A subunit, N-terminal",2,48; 57,2,1.0,0.05779569892473118,0.03611566893157098
Cleft lip and palate transmembrane 1,3,75; 174; 213,3,1.0,0.09971509971509973,0.09105405973988914
"Clp ATPase, C-terminal",2,22; 201,2,1.0,0.04146730462519936,0.015788668160465175
Clp protease proteolytic subunit /Translocation-enhancing protein TepA,1,119,1,1.0,0.07692307692307693,0.0
"Clp protease, ATP-binding subunit ClpX",1,201,1,1.0,0.030303030303030304,0.0
ClpA/B family,1,22,1,1.0,0.05263157894736842,0.0
"ClpP, Ser active site",1,119,1,1.0,0.07692307692307693,0.0
"ClpP, histidine active site",1,119,1,1.0,0.07692307692307693,0.0
ClpP/crotonase-like domain superfamily,6,23; 57; 75; 119; 180; 216,6,1.0,0.06454008954008954,0.0216971063803939
Co-chaperone protein p23-like,1,19,1,1.0,0.09090909090909091,0.0
CoA-binding,1,107,1,1.0,0.037037037037037035,0.0
Coagulation factor 5/8 C-terminal domain,6,48; 73; 75; 166; 201; 234,6,1.0,0.032701680786358205,0.0161079258432607
"Coagulation factor-like, Gla domain superfamily",1,48,1,1.0,0.03225806451612903,0.0
Coatomer beta subunit (COPB1),1,61,1,1.0,0.08333333333333333,0.0
"Coatomer beta subunit, C-terminal",1,61,1,1.0,0.08333333333333333,0.0
"Coatomer beta subunit, appendage platform domain",1,61,1,1.0,0.08333333333333333,0.0
Coatomer beta' subunit (COPB2),2,171; 201,2,1.0,0.09848484848484848,0.09642365197998375
Coatomer delta subunit,1,64,1,1.0,0.14285714285714285,0.0
Coatomer subunit alpha,1,46,1,1.0,0.05263157894736842,0.0
"Coatomer subunit alpha, WD Associated Region",1,46,1,1.0,0.05263157894736842,0.0
"Coatomer, WD associated region",3,46; 171; 201,3,1.0,0.08320042530568846,0.07314096735986915
"Coatomer, alpha subunit, C-terminal",1,46,1,1.0,0.05263157894736842,0.0
"Coatomer, epsilon subunit",1,1,1,1.0,0.058823529411764705,0.0
"Coatomer/calthrin adaptor appendage, C-terminal subdomain",3,1; 124; 128,3,1.0,0.08691553544494722,0.03420114377272149
"Coenzyme Q-binding protein COQ10, START domain",1,1,1,1.0,0.058823529411764705,0.0
Coenzyme Q-binding protein COQ10-like,1,1,1,1.0,0.058823529411764705,0.0
Coiled-coil and C2 domain-containing protein 1,2,7; 124,2,1.0,0.07692307692307693,0.0
"Coiled-coil and C2 domain-containing protein 1, DM14 domain",2,7; 124,2,1.0,0.07692307692307693,0.0
Coiled-coil domain-containing protein 124/Oxs1,1,220,1,1.0,0.04,0.0
Coiled-coil domain-containing protein 127,1,106,1,1.0,0.2,0.0
"Coiled-coil domain-containing protein 168, N-terminal",1,77,1,1.0,0.05555555555555555,0.0
Coiled-coil domain-containing protein 51,2,220; 224,2,1.0,0.18666666666666665,0.20741798914805393
Coilin,1,93,1,1.0,0.0625,0.0
"Coilin, N-terminal domain",1,93,1,1.0,0.0625,0.0
Cold shock domain,3,88; 141; 208,3,1.0,0.16452991452991453,0.0865582440193551
Cold-shock (CSD) domain,3,88; 141; 208,3,1.0,0.16452991452991453,0.0865582440193551
"Cold-shock protein, DNA-binding",3,88; 141; 208,3,1.0,0.16452991452991453,0.0865582440193551
"Collagen IV, non-collagenous",1,193,1,1.0,0.05,0.0
"Collagen IV, non-collagenous domain superfamily",1,193,1,1.0,0.05,0.0
Collagen triple helix repeat,8,19; 109; 123; 146; 155; 162; 193; 201,8,1.0,0.11033412665765607,0.15881105484769098
Complement Clr-like EGF domain,5,48; 214; 216; 217; 234,5,1.0,0.12853494623655914,0.13610518286067488
Complex 1 LYR protein domain,1,189,1,1.0,0.0625,0.0
Complex III assembly factor UQCC2/CBP6,1,82,1,1.0,0.07692307692307693,0.0
Concanavalin A-like lectin/glucanase domain superfamily,28,10; 15; 16; 19; 27; 33; 40; 41; 44; 46; 48; 103; 114; 119; 136; 138; 153; 164; 166; 176; 192; 197; 201; 226; 234,25,1.12,0.08645750791597932,0.06233142577636207
Connexin,2,95; 177,2,1.0,0.09946236559139784,0.09504123403044994
"Connexin, C-terminal",2,95; 177,2,1.0,0.09946236559139784,0.09504123403044994
"Connexin, N-terminal",2,95; 177,2,1.0,0.09946236559139784,0.09504123403044994
"Connexin, N-terminal domain superfamily",2,95; 177,2,1.0,0.09946236559139784,0.09504123403044994
"Connexin, conserved site",2,95; 177,2,1.0,0.09946236559139784,0.09504123403044994
Constitutive coactivator of PPAR-gamma,2,216; 234,2,1.0,0.03854166666666667,0.0397747564417433
Copine,2,47; 68,2,1.0,0.05714285714285714,0.013468700594029479
"Copine, C-terminal",2,47; 68,2,1.0,0.05714285714285714,0.013468700594029479
"Copine, C2B domain",2,47; 68,2,1.0,0.05714285714285714,0.013468700594029479
Copper centre Cu(A),2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Copper chaperone SCO1/SenC,2,75; 124,2,1.0,0.04957264957264958,0.0386793452956744
Core histone macro-H2A,1,85,1,1.0,0.043478260869565216,0.0
"Core histone macro-H2A, macro domain",1,85,1,1.0,0.043478260869565216,0.0
Coronin,1,92,1,1.0,0.1,0.0
"Cortactin, SH3 domain",1,178,1,1.0,0.14285714285714285,0.0
Cox20,1,145,1,1.0,0.05,0.0
"Creatinase/Aminopeptidase P/Spt16, N-terminal",2,64; 69,2,1.0,0.08531746031746032,0.08137339942226142
Creatinase/aminopeptidase-like,3,47; 64; 69,3,1.0,0.07275132275132275,0.0615186029324523
Cro/C1-type helix-turn-helix domain,1,196,1,1.0,0.08333333333333333,0.0
Cullin-associated NEDD8-dissociated protein 1/2,1,97,1,1.0,0.034482758620689655,0.0
Cupredoxin,2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Cyclic nucleotide phosphodiesterase,1,95,1,1.0,0.03225806451612903,0.0
"Cyclic nucleotide phosphodiesterase, catalytic domain",1,95,1,1.0,0.03225806451612903,0.0
Cyclic nucleotide-binding domain,2,55; 136,2,1.0,0.14224137931034483,0.15239370284192835
Cyclic nucleotide-binding domain superfamily,2,55; 136,2,1.0,0.14224137931034483,0.15239370284192835
"Cyclic nucleotide-binding, conserved site",1,55,1,1.0,0.25,0.0
Cyclic phosphodiesterase,1,95,1,1.0,0.03225806451612903,0.0
Cyclin,1,47,1,1.0,0.047619047619047616,0.0
Cyclin A/B-like,1,47,1,1.0,0.047619047619047616,0.0
Cyclin Y,1,201,1,1.0,0.030303030303030304,0.0
"Cyclin, C-terminal domain",1,47,1,1.0,0.047619047619047616,0.0
"Cyclin, N-terminal",2,47; 201,2,1.0,0.03896103896103896,0.012244273267299523
"Cyclin-A, N-terminal APC/C binding region",1,47,1,1.0,0.047619047619047616,0.0
"Cyclin-dependent kinase 11/PITSLRE, catalytic domain",1,18,1,1.0,0.05263157894736842,0.0
Cyclin-like domain,3,34; 47; 201,3,1.0,0.05375180375180375,0.02704184319178955
Cyclin-like superfamily,3,34; 47; 201,3,1.0,0.05375180375180375,0.02704184319178955
"Cyclins, cyclin-box",1,47,1,1.0,0.047619047619047616,0.0
Cyclophilin-like domain superfamily,4,42; 90; 91; 228,4,1.0,0.16700404858299595,0.22256469009720029
Cyclophilin-type peptidyl-prolyl cis-trans isomerase,1,91,1,1.0,0.038461538461538464,0.0
Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,4,42; 90; 91; 228,4,1.0,0.16700404858299595,0.22256469009720029
"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site",4,42; 90; 91; 228,4,1.0,0.16700404858299595,0.22256469009720029
Cystatin domain,1,30,1,1.0,0.25,0.0
Cystatin superfamily,1,30,1,1.0,0.25,0.0
Cysteine alpha-hairpin motif superfamily,1,79,1,1.0,0.038461538461538464,0.0
Cysteine desulfurase,1,16,1,1.0,0.04,0.0
Cysteine desulfurase IscS,1,16,1,1.0,0.04,0.0
"Cysteine peptidase, asparagine active site",1,46,1,1.0,0.05263157894736842,0.0
"Cysteine peptidase, cysteine active site",2,46; 47,2,1.0,0.05012531328320802,0.003544394893165652
"Cysteine peptidase, histidine active site",1,46,1,1.0,0.05263157894736842,0.0
Cysteine-rich Golgi apparatus protein 1 repeat,1,16,1,1.0,0.04,0.0
"Cysteine-rich Golgi apparatus protein 1 repeat, eukaryote",1,16,1,1.0,0.04,0.0
"Cysteine-rich flanking region, C-terminal",2,68; 132,2,1.0,0.06904761904761905,0.0033671751485073623
Cysteine-rich secretory protein-related,1,210,1,1.0,0.058823529411764705,0.0
"Cystine knot, C-terminal",3,148; 201; 214,3,1.0,0.09343434343434344,0.09281256393001398
Cystine-knot cytokine,1,214,1,1.0,0.2,0.0
Cytochrome B561-related,1,48,1,1.0,0.03225806451612903,0.0
"Cytochrome C oxidase subunit II, transmembrane domain",2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
"Cytochrome C oxidase subunit II, transmembrane domain superfamily",2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Cytochrome P450,4,43; 67; 68; 146,4,1.0,0.07247023809523809,0.037609675218858614
Cytochrome P450 superfamily,4,43; 67; 68; 146,4,1.0,0.07247023809523809,0.037609675218858614
"Cytochrome P450, E-class, group I",3,67; 68; 146,3,1.0,0.05496031746031746,0.01679724921690227
"Cytochrome P450, E-class, group I, CYP2D-like",1,67,1,1.0,0.0625,0.0
"Cytochrome P450, E-class, group IV",1,43,1,1.0,0.125,0.0
"Cytochrome P450, conserved site",4,43; 67; 68; 146,4,1.0,0.07247023809523809,0.037609675218858614
Cytochrome b-c1 complex subunit 7,2,60; 123,2,1.0,0.07107843137254902,0.01733104855849381
Cytochrome b-c1 complex subunit 7 superfamily,2,60; 123,2,1.0,0.07107843137254902,0.01733104855849381
Cytochrome b-c1 complex subunit 8,2,46; 186,2,1.0,0.08187134502923976,0.04135127375359927
Cytochrome b-c1 complex subunit 8 superfamily,2,46; 186,2,1.0,0.08187134502923976,0.04135127375359927
Cytochrome b-c1 complex subunit 9,1,95,1,1.0,0.03225806451612903,0.0
Cytochrome b-c1 complex subunit 9 superfamily,1,95,1,1.0,0.03225806451612903,0.0
"Cytochrome b-c1 complex subunit Rieske, transmembrane domain",1,61,1,1.0,0.08333333333333333,0.0
"Cytochrome b5, heme-binding site",3,13; 134; 211,3,1.0,0.1234402852049911,0.11383541337949916
Cytochrome b5-like heme/steroid binding domain,8,13; 98; 123; 130; 134; 185; 211; 226,8,1.0,0.11160244983774395,0.11582388469187611
Cytochrome b5-like heme/steroid binding domain superfamily,8,13; 98; 123; 130; 134; 185; 211; 226,8,1.0,0.11160244983774395,0.11582388469187611
Cytochrome b561/Cytochrome b reductase 1-like,1,9,1,1.0,0.06666666666666667,0.0
Cytochrome b561/ferric reductase transmembrane,1,9,1,1.0,0.06666666666666667,0.0
"Cytochrome bc1 complex subunit Rieske, transmembrane domain superfamily",1,61,1,1.0,0.08333333333333333,0.0
"Cytochrome c oxidase assembly factor 3, mitochondrial",1,97,1,1.0,0.034482758620689655,0.0
"Cytochrome c oxidase assembly factor 3, mitochondrial, coiled-coil domain",1,97,1,1.0,0.034482758620689655,0.0
Cytochrome c oxidase assembly protein COX16,1,216,1,1.0,0.06666666666666667,0.0
Cytochrome c oxidase assembly protein CtaG/Cox11,1,149,1,1.0,0.030303030303030304,0.0
"Cytochrome c oxidase assembly protein CtaG/Cox11, domain superfamily",1,149,1,1.0,0.030303030303030304,0.0
Cytochrome c oxidase assembly protein PET191,2,90; 213,2,1.0,0.06477732793522267,0.017176682943802778
Cytochrome c oxidase biogenesis protein Cmc1-like,1,67,1,1.0,0.0625,0.0
"Cytochrome c oxidase subunit 2, C-terminal",2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Cytochrome c oxidase subunit II-like C-terminal,2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Cytochrome c oxidase subunit IV,1,104,1,1.0,0.07692307692307693,0.0
Cytochrome c oxidase subunit IV family,1,104,1,1.0,0.07692307692307693,0.0
Cytochrome c oxidase subunit IV superfamily,1,104,1,1.0,0.07692307692307693,0.0
Cytochrome c oxidase subunit VII,2,97; 183,2,1.0,0.05057471264367816,0.022757459624394634
"Cytochrome c oxidase subunit VIIa, metazoa",2,97; 183,2,1.0,0.05057471264367816,0.022757459624394634
"Cytochrome c oxidase subunit VIIa-related, mitochondrial",1,183,1,1.0,0.06666666666666667,0.0
"Cytochrome c oxidase, subunit II",2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
"Cytochrome c oxidase, subunit VIIa superfamily",2,97; 183,2,1.0,0.05057471264367816,0.022757459624394634
"Cytochrome c oxidase, subunit VIb",1,91,1,1.0,0.038461538461538464,0.0
"Cytochrome c oxidase, subunit VIb superfamily",1,91,1,1.0,0.038461538461538464,0.0
"Cytochrome c oxidase, subunit Va/VI",2,135; 146,2,1.0,0.05631868131868132,0.029139015708236852
"Cytochrome c oxidase, subunit Va/VI superfamily",2,135; 146,2,1.0,0.05631868131868132,0.029139015708236852
"Cytochrome c oxidase, subunit Vb",1,180,1,1.0,0.06666666666666667,0.0
"Cytochrome c oxidase, subunit Vb superfamily",1,180,1,1.0,0.06666666666666667,0.0
Cytochrome c-like domain superfamily,1,69,1,1.0,0.027777777777777776,0.0
Cytochrome c/quinol oxidase subunit II,2,75; 125,2,1.0,0.044444444444444446,0.03142696805273545
Cytochrome c1,1,69,1,1.0,0.027777777777777776,0.0
"Cytochrome c1, transmembrane anchor, C-terminal",1,69,1,1.0,0.027777777777777776,0.0
"Cytochrome cd1-nitrite reductase-like, haem d1 domain superfamily",1,46,1,1.0,0.05263157894736842,0.0
Cytochrome oxidase assembly factor 4-like,1,40,1,1.0,0.16666666666666666,0.0
Cytochrome oxidase c subunit VIb-like,1,91,1,1.0,0.038461538461538464,0.0
Cytokine IL1/FGF,1,47,1,1.0,0.047619047619047616,0.0
"Cytokine-like nuclear factor N-PAC, PWWP domain",2,148; 157,2,1.0,0.058333333333333334,0.01178511301977579
Cytoplasmic FMR1-interacting,1,148,1,1.0,0.05,0.0
Cytoplasmic activation/proliferation-associated protein-1 C term,1,127,1,1.0,0.1,0.0
Cytoplasmic dynein 1 intermediate chain 1/2,1,47,1,1.0,0.047619047619047616,0.0
Cytoskeleton-associated protein 2 family,1,136,1,1.0,0.034482758620689655,0.0
"Cytoskeleton-associated protein 2, C-terminal",1,136,1,1.0,0.034482758620689655,0.0
Cytosolic fatty-acid binding,1,206,1,1.0,0.06666666666666667,0.0
D-3-phosphoglycerate dehydrogenase,2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
"D-3-phosphoglycerate dehydrogenase, ASB domain",2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain",2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site",2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1",2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",2,42; 97,2,1.0,0.2672413793103448,0.32917039813856525
DAD/Ost2,1,108,1,1.0,0.06666666666666667,0.0
DALR anticodon binding,2,87; 135,2,1.0,0.10096153846153846,0.03399551832627632
"DAMP1, SANT/Myb-like domain",1,9,1,1.0,0.06666666666666667,0.0
DAN,1,214,1,1.0,0.2,0.0
DAPIN domain,1,184,1,1.0,0.3333333333333333,0.0
"DAZ-associated protein 1, RNA recognition motif 1",2,41; 223,2,1.0,0.18333333333333335,0.023570226039551587
