group,group_protein_count,domain,total_domain_protein_count,domain_protein_in_group_count,coverage_of_domain_proteins_in_group,representation_of_total_domain_proteins
20,7,"LAP1C-like, C-terminal domain superfamily",2,1,0.14285714285714285,0.5
20,7,Nuclear hormone receptor,3,1,0.14285714285714285,0.3333333333333333
20,7,"Nuclear hormone receptor, ligand-binding domain",3,1,0.14285714285714285,0.3333333333333333
20,7,Nuclear hormone receptor-like domain superfamily,3,1,0.14285714285714285,0.3333333333333333
20,7,Nucleotide-binding alpha-beta plait domain superfamily,126,1,0.14285714285714285,0.007936507936507936
20,7,P-loop containing nucleoside triphosphate hydrolase,269,1,0.14285714285714285,0.0037174721189591076
20,7,RNA binding protein HABP4/SERBP1-like,1,1,0.14285714285714285,1.0
20,7,RNA recognition motif domain,117,1,0.14285714285714285,0.008547008547008548
20,7,RNA-binding domain superfamily,127,1,0.14285714285714285,0.007874015748031496
20,7,Ribosomal protein eL30-like superfamily,12,1,0.14285714285714285,0.08333333333333333
20,7,Ribosomal protein eL8/Nhp2 family,8,1,0.14285714285714285,0.125
20,7,Ribosomal protein eL8/eL30/eS12/Gadd45,12,1,0.14285714285714285,0.08333333333333333
20,7,"TAR DNA-binding protein 43, C-terminal",1,1,0.14285714285714285,1.0
20,7,"TAR DNA-binding protein 43, N-terminal",1,1,0.14285714285714285,1.0
20,7,Torsin-1A-interacting protein 1/2,2,1,0.14285714285714285,0.5
20,7,"Torsin-1A-interacting protein 1/2, AAA+ activator domain",2,1,0.14285714285714285,0.5
20,7,"Torsin-1A-interacting protein 1/2, N-terminal",2,1,0.14285714285714285,0.5
20,7,Transmembrane protein 181,1,1,0.14285714285714285,1.0
20,7,"Wntless-like, transmembrane domain",2,1,0.14285714285714285,0.5
20,7,"Zinc finger, NHR/GATA-type",3,1,0.14285714285714285,0.3333333333333333
20,7,"Zinc finger, nuclear hormone receptor-type",3,1,0.14285714285714285,0.3333333333333333
21,2,"EF-Hand 1, calcium-binding site",52,1,0.5,0.019230769230769232
21,2,EF-hand domain,61,1,0.5,0.01639344262295082
21,2,EF-hand domain pair,68,1,0.5,0.014705882352941176
21,2,Isoprenylcysteine carboxyl methyltransferase,1,1,0.5,1.0
21,2,Nucleobindin,2,1,0.5,0.5
21,2,Protein-S-isoprenylcysteine O-methyltransferase,1,1,0.5,1.0
22,19,ADP-ribosylation factor 6,1,1,0.05263157894736842,1.0
22,19,"ATPase, AAA-type, core",23,1,0.05263157894736842,0.043478260869565216
22,19,"ATPase, dynein-related, AAA domain",2,1,0.05263157894736842,0.5
22,19,Ankyrin repeat,16,1,0.05263157894736842,0.0625
22,19,Ankyrin repeat-containing domain superfamily,17,1,0.05263157894736842,0.058823529411764705
22,19,Armadillo-like helical,63,1,0.05263157894736842,0.015873015873015872
22,19,Armadillo-type fold,84,1,0.05263157894736842,0.011904761904761904
22,19,"BAT2, N-terminal",2,1,0.05263157894736842,0.5
22,19,"Calcium-binding protein CAB45, EF-hand",1,1,0.05263157894736842,1.0
22,19,Citron homology (CNH) domain,2,1,0.05263157894736842,0.5
22,19,"Clp ATPase, C-terminal",2,1,0.05263157894736842,0.5
22,19,ClpA/B family,1,1,0.05263157894736842,1.0
22,19,"EF-Hand 1, calcium-binding site",52,1,0.05263157894736842,0.019230769230769232
22,19,EF-hand domain,61,1,0.05263157894736842,0.01639344262295082
22,19,EF-hand domain pair,68,1,0.05263157894736842,0.014705882352941176
22,19,FAST kinase leucine-rich,3,1,0.05263157894736842,0.3333333333333333
22,19,"FAST kinase-like protein, subdomain 2",3,1,0.05263157894736842,0.3333333333333333
22,19,"G3BP1, RNA recognition motif",5,1,0.05263157894736842,0.2
22,19,Heterogeneous nuclear ribonucleoprotein Q acidic domain,4,1,0.05263157894736842,0.25
22,19,"Heterogeneous nuclear ribonucleoprotein Q, RNA recognition motif 1",3,1,0.05263157894736842,0.3333333333333333
22,19,"Heterogeneous nuclear ribonucleoprotein Q, RNA recognition motif 2",3,1,0.05263157894736842,0.3333333333333333
22,19,HnRNP R/Q splicing factor,4,1,0.05263157894736842,0.25
22,19,Large ribosomal subunit protein uL15,5,1,0.05263157894736842,0.2
22,19,"Large ribosomal subunit protein uL15, conserved site",4,1,0.05263157894736842,0.25
22,19,Large ribosomal subunit protein uL15/eL18,10,1,0.05263157894736842,0.1
22,19,Large ribosomal subunit protein uL15/eL18 superfamily,10,1,0.05263157894736842,0.1
22,19,Mitochondrial import receptor subunit Tom22,1,1,0.05263157894736842,1.0
22,19,NAD(P)-binding domain superfamily,56,1,0.05263157894736842,0.017857142857142856
22,19,NTF2-like domain superfamily,13,1,0.05263157894736842,0.07692307692307693
22,19,Nuclear transport factor 2 domain,7,1,0.05263157894736842,0.14285714285714285
22,19,"Nuclear transport factor 2, eukaryote",7,1,0.05263157894736842,0.14285714285714285
22,19,"Nucleic acid-binding, OB-fold",31,1,0.05263157894736842,0.03225806451612903
22,19,Peroxiredoxin-5-like,1,1,0.05263157894736842,1.0
22,19,Protein FAM133,1,1,0.05263157894736842,1.0
22,19,Protein PRRC2,2,1,0.05263157894736842,0.5
22,19,Protein kinase domain,32,1,0.05263157894736842,0.03125
22,19,"Protein kinase, ATP binding site",27,1,0.05263157894736842,0.037037037037037035
22,19,Protein kinase-like domain superfamily,40,1,0.05263157894736842,0.025
22,19,RAP domain,3,1,0.05263157894736842,0.3333333333333333
22,19,Ras GTPase-activating protein-binding protein,6,1,0.05263157894736842,0.16666666666666666
22,19,Redoxin,1,1,0.05263157894736842,1.0
22,19,"Ribosomal uL15, N-terminal",4,1,0.05263157894736842,0.25
22,19,S1 domain,5,1,0.05263157894736842,0.2
22,19,"Serine/threonine-protein kinase, active site",21,1,0.05263157894736842,0.047619047619047616
22,19,Short-chain dehydrogenase/reductase SDR,24,1,0.05263157894736842,0.041666666666666664
22,19,Small GTP-binding protein domain,67,1,0.05263157894736842,0.014925373134328358
22,19,"Small GTPase superfamily, ARF/SAR type",12,1,0.05263157894736842,0.08333333333333333
22,19,Symplekin C-terminal,1,1,0.05263157894736842,1.0
22,19,Symplekin/Pta1,1,1,0.05263157894736842,1.0
22,19,"Symplekin/Pta1, N-terminal",1,1,0.05263157894736842,1.0
22,19,TMEM192 family,1,1,0.05263157894736842,1.0
22,19,Thioredoxin domain,20,1,0.05263157894736842,0.05
22,19,Thioredoxin-like superfamily,36,1,0.05263157894736842,0.027777777777777776
22,19,"Zinc finger CCHC domain-containing protein 17, S1 domain",2,1,0.05263157894736842,0.5
22,19,"Zinc finger, CCHC-type",8,1,0.05263157894736842,0.125
22,19,"eIF4H, RNA recognition motif",1,1,0.05263157894736842,1.0
22,19,von Willebrand factor A domain-containing protein 8,1,1,0.05263157894736842,1.0
22,19,von Willebrand factor A-like domain superfamily,29,1,0.05263157894736842,0.034482758620689655
22,19,"von Willebrand factor, type A",18,1,0.05263157894736842,0.05555555555555555
22,19,AAA+ ATPase domain,54,2,0.10526315789473684,0.037037037037037035
22,19,Nucleotide-binding alpha-beta plait domain superfamily,126,3,0.15789473684210525,0.023809523809523808
22,19,P-loop containing nucleoside triphosphate hydrolase,269,3,0.15789473684210525,0.011152416356877323
22,19,RNA recognition motif domain,117,3,0.15789473684210525,0.02564102564102564
22,19,RNA-binding domain superfamily,127,3,0.15789473684210525,0.023622047244094488
23,14,"AAA ATPase, AAA+ lid domain",13,1,0.07142857142857142,0.07692307692307693
23,14,AAA+ ATPase domain,54,1,0.07142857142857142,0.018518518518518517
23,14,"ATP-dependent zinc metalloprotease, FtsH",3,1,0.07142857142857142,0.3333333333333333
23,14,"ATPase, AAA-type, conserved site",14,1,0.07142857142857142,0.07142857142857142
23,14,"ATPase, AAA-type, core",23,1,0.07142857142857142,0.043478260869565216
23,14,ClpP/crotonase-like domain superfamily,6,1,0.07142857142857142,0.16666666666666666
23,14,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase Ech1-like",1,1,0.07142857142857142,1.0
23,14,"Enoyl-CoA hydratase, C-terminal",3,1,0.07142857142857142,0.3333333333333333
23,14,Enoyl-CoA hydratase/isomerase,4,1,0.07142857142857142,0.25
23,14,"Enoyl-CoA hydratase/isomerase, conserved site",3,1,0.07142857142857142,0.3333333333333333
23,14,Glypican,2,1,0.07142857142857142,0.5
23,14,"Glypican, conserved site",2,1,0.07142857142857142,0.5
23,14,Mitochondrial carrier domain superfamily,23,1,0.07142857142857142,0.043478260869565216
23,14,Mitochondrial carrier protein,18,1,0.07142857142857142,0.05555555555555555
23,14,Mitochondrial substrate/solute carrier,23,1,0.07142857142857142,0.043478260869565216
23,14,NAD(P)-binding domain superfamily,56,1,0.07142857142857142,0.017857142857142856
23,14,NAD-dependent epimerase/dehydratase,1,1,0.07142857142857142,1.0
23,14,NTF2-like domain superfamily,13,1,0.07142857142857142,0.07692307692307693
23,14,Nucleotide-binding alpha-beta plait domain superfamily,126,1,0.07142857142857142,0.007936507936507936
23,14,Peptidase M41,3,1,0.07142857142857142,0.3333333333333333
23,14,"Peptidase M41, FtsH extracellular",2,1,0.07142857142857142,0.5
23,14,Peptidase M41-like,3,1,0.07142857142857142,0.3333333333333333
23,14,Pyruvate dehydrogenase E1 component subunit beta,1,1,0.07142857142857142,1.0
23,14,RNA recognition motif domain,117,1,0.07142857142857142,0.008547008547008548
23,14,RNA-binding domain superfamily,127,1,0.07142857142857142,0.007874015748031496
23,14,Ras-related protein Rab29/Rab38/Rab32,2,1,0.07142857142857142,0.5
23,14,SCP2 sterol-binding domain,7,1,0.07142857142857142,0.14285714285714285
23,14,SCP2 sterol-binding domain superfamily,7,1,0.07142857142857142,0.14285714285714285
23,14,Smac/DIABLO protein,2,1,0.07142857142857142,0.5
23,14,Smac/DIABLO-like superfamily,2,1,0.07142857142857142,0.5
23,14,Small GTP-binding protein domain,67,1,0.07142857142857142,0.014925373134328358
23,14,Small GTPase,49,1,0.07142857142857142,0.02040816326530612
23,14,Small ribosomal subunit protein eS27,3,1,0.07142857142857142,0.3333333333333333
23,14,"Small ribosomal subunit protein eS27, zinc-binding domain superfamily",3,1,0.07142857142857142,0.3333333333333333
23,14,Tetratricopeptide-like helical domain superfamily,46,1,0.07142857142857142,0.021739130434782608
23,14,Thiamin diphosphate-binding fold,9,1,0.07142857142857142,0.1111111111111111
23,14,Thiolase,3,1,0.07142857142857142,0.3333333333333333
23,14,"Thiolase, active site",3,1,0.07142857142857142,0.3333333333333333
23,14,Tim44-like domain,5,1,0.07142857142857142,0.2
23,14,Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II,2,1,0.07142857142857142,0.5
23,14,"Transketolase, C-terminal domain",2,1,0.07142857142857142,0.5
23,14,"Transketolase-like, pyrimidine-binding domain",3,1,0.07142857142857142,0.3333333333333333
23,14,Wolframin,1,1,0.07142857142857142,1.0
23,14,Wolframin family,1,1,0.07142857142857142,1.0
23,14,"Wolframin, EF-hand domain",1,1,0.07142857142857142,1.0
23,14,"Wolframin, OB-fold domain",1,1,0.07142857142857142,1.0
23,14,"Wolframin, Sel1-like repeat",1,1,0.07142857142857142,1.0
23,14,"Wolframin, cysteine-rich domain",1,1,0.07142857142857142,1.0
23,14,Zinc-binding ribosomal protein,8,1,0.07142857142857142,0.125
23,14,P-loop containing nucleoside triphosphate hydrolase,269,2,0.14285714285714285,0.007434944237918215
23,14,"Thiolase, C-terminal",6,2,0.14285714285714285,0.3333333333333333
23,14,"Thiolase, N-terminal",6,2,0.14285714285714285,0.3333333333333333
23,14,"Thiolase, acyl-enzyme intermediate active site",6,2,0.14285714285714285,0.3333333333333333
23,14,"Thiolase, conserved site",6,2,0.14285714285714285,0.3333333333333333
23,14,Thiolase-like,7,2,0.14285714285714285,0.2857142857142857
24,5,Citron homology (CNH) domain,2,1,0.2,0.5
24,5,"DNA2/NAM7 helicase, helicase domain",3,1,0.2,0.3333333333333333
24,5,"DNA2/NAM7 helicase-like, C-terminal",3,1,0.2,0.3333333333333333
24,5,DNA2/NAM7-like helicase,3,1,0.2,0.3333333333333333
24,5,Death domain,4,1,0.2,0.25
24,5,Death-like domain superfamily,6,1,0.2,0.16666666666666666
24,5,Dynein light chain superfamily,2,1,0.2,0.5
24,5,"Dynein light chain, type 1/2",2,1,0.2,0.5
24,5,"Dynein light chain, type 1/2, conserved site",2,1,0.2,0.5
24,5,Fas receptor,2,1,0.2,0.5
24,5,"Fas receptor, N-terminal",2,1,0.2,0.5
24,5,"Fas receptor, death domain",2,1,0.2,0.5
24,5,"Helicase/UvrB, N-terminal",2,1,0.2,0.5
24,5,Protein kinase domain,32,1,0.2,0.03125
24,5,"Protein kinase, ATP binding site",27,1,0.2,0.037037037037037035
24,5,Protein kinase-like domain superfamily,40,1,0.2,0.025
24,5,"RNA helicase UPF1, 1B domain",2,1,0.2,0.5
24,5,"RNA helicase UPF1, Cys/His rich zinc-binding domain",2,1,0.2,0.5
24,5,"Serine/threonine-protein kinase, active site",21,1,0.2,0.047619047619047616
24,5,TNFR/NGFR cysteine-rich region,2,1,0.2,0.5
24,5,Thymidylate kinase,8,1,0.2,0.125
24,5,"Thymidylate kinase, conserved site",8,1,0.2,0.125
24,5,Thymidylate kinase-like domain,8,1,0.2,0.125
24,5,"Upf1-like, C-terminal helicase domain",3,1,0.2,0.3333333333333333
24,5,P-loop containing nucleoside triphosphate hydrolase,269,2,0.4,0.007434944237918215
25,6,CHCH,6,1,0.16666666666666666,0.16666666666666666
25,6,Chaperone J-domain superfamily,17,1,0.16666666666666666,0.058823529411764705
25,6,DnaJ domain,16,1,0.16666666666666666,0.0625
25,6,"DnaJ domain, conserved site",11,1,0.16666666666666666,0.09090909090909091
25,6,DnaJ homolog subfamily B member 2/6-like,3,1,0.16666666666666666,0.3333333333333333
25,6,HotDog domain superfamily,8,1,0.16666666666666666,0.125
25,6,MaoC-like dehydratase domain,3,1,0.16666666666666666,0.3333333333333333
25,6,NAD(P)-binding domain superfamily,56,1,0.16666666666666666,0.017857142857142856
25,6,"NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 8",2,1,0.16666666666666666,0.5
25,6,P-loop containing nucleoside triphosphate hydrolase,269,1,0.16666666666666666,0.0037174721189591076
25,6,"Peptidase S53, activation domain",2,1,0.16666666666666666,0.5
25,6,Peptidase S8/S53 domain,2,1,0.16666666666666666,0.5
25,6,Peptidase S8/S53 domain superfamily,2,1,0.16666666666666666,0.5
25,6,SCP2 sterol-binding domain,7,1,0.16666666666666666,0.14285714285714285
25,6,SCP2 sterol-binding domain superfamily,7,1,0.16666666666666666,0.14285714285714285
25,6,Sedolisin domain,2,1,0.16666666666666666,0.5
25,6,Short-chain dehydrogenase/reductase SDR,24,1,0.16666666666666666,0.041666666666666664
25,6,"Short-chain dehydrogenase/reductase, conserved site",11,1,0.16666666666666666,0.09090909090909091
25,6,Thymidylate kinase,8,1,0.16666666666666666,0.125
25,6,"Thymidylate kinase, conserved site",8,1,0.16666666666666666,0.125
25,6,Thymidylate kinase-like domain,8,1,0.16666666666666666,0.125
25,6,Ubiquitin interacting motif,4,1,0.16666666666666666,0.25
26,2,SNARE,8,1,0.5,0.125
26,2,Syntaxin,6,1,0.5,0.16666666666666666
26,2,"Syntaxin, N-terminal domain",5,1,0.5,0.2
26,2,"Syntaxin/epimorphin, conserved site",7,1,0.5,0.14285714285714285
26,2,Target SNARE coiled-coil homology domain,11,1,0.5,0.09090909090909091
26,2,Tetratricopeptide-like helical domain superfamily,46,1,0.5,0.021739130434782608
27,14,B-box-type zinc finger,8,1,0.07142857142857142,0.125
27,14,B30.2/SPRY domain,12,1,0.07142857142857142,0.08333333333333333
27,14,B30.2/SPRY domain superfamily,12,1,0.07142857142857142,0.08333333333333333
27,14,"Butyrophylin-like, SPRY domain",5,1,0.07142857142857142,0.2
27,14,Chaperone J-domain superfamily,17,1,0.07142857142857142,0.058823529411764705
27,14,Concanavalin A-like lectin/glucanase domain superfamily,28,1,0.07142857142857142,0.03571428571428571
27,14,DnaJ domain,16,1,0.07142857142857142,0.0625
27,14,"DnaJ domain, conserved site",11,1,0.07142857142857142,0.09090909090909091
27,14,DnaJ homolog subfamily B member 2/6-like,3,1,0.07142857142857142,0.3333333333333333
27,14,GTF2I-like repeat,1,1,0.07142857142857142,1.0
27,14,GTF2I-like repeat superfamily,1,1,0.07142857142857142,1.0
27,14,Large ribosomal subunit protein eL18,5,1,0.07142857142857142,0.2
27,14,"Large ribosomal subunit protein eL18, conserved site",5,1,0.07142857142857142,0.2
27,14,Large ribosomal subunit protein eL31,4,1,0.07142857142857142,0.25
27,14,Large ribosomal subunit protein eL31 domain superfamily,4,1,0.07142857142857142,0.25
27,14,"Large ribosomal subunit protein eL31, conserved site",4,1,0.07142857142857142,0.25
27,14,Large ribosomal subunit protein eL33,1,1,0.07142857142857142,1.0
27,14,Large ribosomal subunit protein eL33 superfamily,1,1,0.07142857142857142,1.0
27,14,"Large ribosomal subunit protein eL33, conserved site",1,1,0.07142857142857142,1.0
27,14,Large ribosomal subunit protein eL34,1,1,0.07142857142857142,1.0
27,14,"Large ribosomal subunit protein eL34, conserved site",1,1,0.07142857142857142,1.0
27,14,Large ribosomal subunit protein eL6,3,1,0.07142857142857142,0.3333333333333333
27,14,"Large ribosomal subunit protein eL6, KOW domain",3,1,0.07142857142857142,0.3333333333333333
27,14,"Large ribosomal subunit protein eL6, conserved site",3,1,0.07142857142857142,0.3333333333333333
27,14,Large ribosomal subunit protein eL8,6,1,0.07142857142857142,0.16666666666666666
27,14,"Large ribosomal subunit protein eL8-like, conserved site",7,1,0.07142857142857142,0.14285714285714285
27,14,Large ribosomal subunit protein uL15/eL18,10,1,0.07142857142857142,0.1
27,14,Large ribosomal subunit protein uL15/eL18 superfamily,10,1,0.07142857142857142,0.1
27,14,"Large ribosomal subunit protein uL2, domain 2",12,1,0.07142857142857142,0.08333333333333333
27,14,Large ribosomal subunit protein uL29,1,1,0.07142857142857142,1.0
27,14,Large ribosomal subunit protein uL29 superfamily,1,1,0.07142857142857142,1.0
27,14,"Large ribosomal subunit protein uL29, conserved site",1,1,0.07142857142857142,1.0
27,14,"Large ribosomal subunit protein uL29, eukaryotes",1,1,0.07142857142857142,1.0
27,14,"Large ribosomal subunit protein uL6, N-terminal",3,1,0.07142857142857142,0.3333333333333333
27,14,Nucleotide-binding alpha-beta plait domain superfamily,126,1,0.07142857142857142,0.007936507936507936
27,14,"Protein disulfide-isomerase, thioredoxin-like domain",6,1,0.07142857142857142,0.16666666666666666
27,14,"RBM8, RNA recognition motif",2,1,0.07142857142857142,0.5
27,14,RNA recognition motif domain,117,1,0.07142857142857142,0.008547008547008548
27,14,RNA-binding domain superfamily,127,1,0.07142857142857142,0.007874015748031496
27,14,RNA-binding motif protein 8,2,1,0.07142857142857142,0.5
27,14,Ribosomal protein eL30-like superfamily,12,1,0.07142857142857142,0.08333333333333333
27,14,Ribosomal protein eL8/Nhp2 family,8,1,0.07142857142857142,0.125
27,14,Ribosomal protein eL8/eL30/eS12/Gadd45,12,1,0.07142857142857142,0.08333333333333333
27,14,SPRY domain,12,1,0.07142857142857142,0.08333333333333333
27,14,SPRY-associated,5,1,0.07142857142857142,0.2
27,14,Thioredoxin domain,20,1,0.07142857142857142,0.05
27,14,"Thioredoxin, conserved site",10,1,0.07142857142857142,0.1
27,14,Thioredoxin-like superfamily,36,1,0.07142857142857142,0.027777777777777776
27,14,Transcription factor II-I,1,1,0.07142857142857142,1.0
27,14,Translation protein SH3-like domain superfamily,13,1,0.07142857142857142,0.07692307692307693
27,14,"Translation protein, beta-barrel domain superfamily",14,1,0.07142857142857142,0.07142857142857142
27,14,Ubiquitin interacting motif,4,1,0.07142857142857142,0.25
27,14,"Zinc finger, RING-type",16,1,0.07142857142857142,0.0625
27,14,"Zinc finger, RING/FYVE/PHD-type",28,1,0.07142857142857142,0.03571428571428571
27,14,Linker histone H1/H5,8,2,0.14285714285714285,0.25
27,14,"Linker histone H1/H5, domain H15",13,2,0.14285714285714285,0.15384615384615385
27,14,Winged helix DNA-binding domain superfamily,37,2,0.14285714285714285,0.05405405405405406
27,14,Winged helix-like DNA-binding domain superfamily,39,2,0.14285714285714285,0.05128205128205128
28,3,Armadillo-like helical,63,1,0.3333333333333333,0.015873015873015872
28,3,Armadillo-type fold,84,1,0.3333333333333333,0.011904761904761904
28,3,Diaphanous autoregulatory (DAD) domain,1,1,0.3333333333333333,1.0
28,3,"Formin, FH2 domain",2,1,0.3333333333333333,0.5
28,3,"Formin, FH2 domain superfamily",2,1,0.3333333333333333,0.5
28,3,"Formin, FH3 domain",2,1,0.3333333333333333,0.5
28,3,"Formin, GTPase-binding domain",2,1,0.3333333333333333,0.5
28,3,"Formin-like protein, animal",1,1,0.3333333333333333,1.0
28,3,Isocitrate dehydrogenase NAD-dependent,2,1,0.3333333333333333,0.5
28,3,"Isocitrate/isopropylmalate dehydrogenase, conserved site",3,1,0.3333333333333333,0.3333333333333333
28,3,Isopropylmalate dehydrogenase-like domain,3,1,0.3333333333333333,0.3333333333333333
28,3,Rho GTPase-binding/formin homology 3 (GBD/FH3) domain,2,1,0.3333333333333333,0.5
28,3,"Zinc finger, LIM-type",12,1,0.3333333333333333,0.08333333333333333
29,10,Amyloidogenic glycoprotein,4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, E2 domain",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, amyloid-beta peptide",1,1,0.1,1.0
29,10,"Amyloidogenic glycoprotein, amyloid-beta peptide superfamily",1,1,0.1,1.0
29,10,"Amyloidogenic glycoprotein, copper-binding",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, copper-binding domain conserved site",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, copper-binding domain superfamily",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, extracellular",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, heparin-binding",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, heparin-binding domain superfamily",4,1,0.1,0.25
29,10,"Amyloidogenic glycoprotein, intracellular domain, conserved site",4,1,0.1,0.25
29,10,Beta-amyloid precursor protein C-terminal,4,1,0.1,0.25
29,10,"DEAD-box helicase, OB fold",4,1,0.1,0.25
29,10,DEAD/DEAH box helicase domain,35,1,0.1,0.02857142857142857
29,10,DHS-like NAD/FAD-binding domain superfamily,5,1,0.1,0.2
29,10,"DHX9, DEXH-box helicase domain",1,1,0.1,1.0
29,10,"DHX9, first double-stranded RNA binding domain",1,1,0.1,1.0
29,10,"DHX9, second double-stranded RNA binding domain",1,1,0.1,1.0
29,10,"DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site",6,1,0.1,0.16666666666666666
29,10,Double-stranded RNA-binding domain,9,1,0.1,0.1111111111111111
29,10,E2 domain superfamily,4,1,0.1,0.25
29,10,Electron transfer flavoprotein alpha subunit/FixB,2,1,0.1,0.5
29,10,"Electron transfer flavoprotein subunit alpha, conserved site",2,1,0.1,0.5
29,10,"Electron transfer flavoprotein, alpha subunit, C-terminal",2,1,0.1,0.5
29,10,"Electron transfer flavoprotein, alpha subunit, N-terminal",2,1,0.1,0.5
29,10,"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal",3,1,0.1,0.3333333333333333
29,10,"Helicase associated domain (HA2), winged-helix domain",3,1,0.1,0.3333333333333333
29,10,"Helicase superfamily 1/2, ATP-binding domain",43,1,0.1,0.023255813953488372
29,10,"Helicase, C-terminal domain-like",43,1,0.1,0.023255813953488372
29,10,Helicase-associated domain,4,1,0.1,0.25
29,10,HnRNP-L/PTB,3,1,0.1,0.3333333333333333
29,10,K Homology domain,21,1,0.1,0.047619047619047616
29,10,"K Homology domain, type 1",21,1,0.1,0.047619047619047616
29,10,"K Homology domain, type 1 superfamily",22,1,0.1,0.045454545454545456
29,10,P-loop containing nucleoside triphosphate hydrolase,269,1,0.1,0.0037174721189591076
29,10,PDZ domain,23,1,0.1,0.043478260869565216
29,10,PDZ superfamily,24,1,0.1,0.041666666666666664
29,10,PH-like domain superfamily,36,1,0.1,0.027777777777777776
29,10,"PTBP1-like, RNA recognition motif 2",3,1,0.1,0.3333333333333333
29,10,Pancreatic trypsin inhibitor Kunitz domain,7,1,0.1,0.14285714285714285
29,10,Pancreatic trypsin inhibitor Kunitz domain superfamily,7,1,0.1,0.14285714285714285
29,10,"Protein disulfide-isomerase, thioredoxin-like domain",6,1,0.1,0.16666666666666666
29,10,"Proteinase inhibitor I2, Kunitz, conserved site",7,1,0.1,0.14285714285714285
29,10,"ROK, N-terminal",2,1,0.1,0.5
29,10,Rap/Ran-GAP domain,2,1,0.1,0.5
29,10,Rap/Ran-GAP superfamily,2,1,0.1,0.5
29,10,Rossmann-like alpha/beta/alpha sandwich fold,16,1,0.1,0.0625
29,10,"SRSF1, RNA recognition motif 1",1,1,0.1,1.0
29,10,"Serine/arginine-rich splicing factor 1, RNA recognition motif 2",1,1,0.1,1.0
29,10,"Signal-induced proliferation-associated 1-like protein, C-terminal",2,1,0.1,0.5
29,10,Small ribosomal subunit protein eS21,1,1,0.1,1.0
29,10,Small ribosomal subunit protein eS21 superfamily,1,1,0.1,1.0
29,10,"Small ribosomal subunit protein eS21, conserved site",1,1,0.1,1.0
29,10,Thioredoxin domain,20,1,0.1,0.05
29,10,"Thioredoxin, conserved site",10,1,0.1,0.1
29,10,Thioredoxin-like superfamily,36,1,0.1,0.027777777777777776
29,10,"U2 snRNP auxilliary factor, large subunit, splicing factor",1,1,0.1,1.0
29,10,"hnRNP-L, RNA recognition motif 1",1,1,0.1,1.0
29,10,"hnRNP-L, RNA recognition motif 2",1,1,0.1,1.0
29,10,"hnRNP-L, RNA recognition motif 3",1,1,0.1,1.0
29,10,"hnRNP-L, RNA recognition motif 4",1,1,0.1,1.0
29,10,Nucleotide-binding alpha-beta plait domain superfamily,126,3,0.3,0.023809523809523808
29,10,RNA recognition motif domain,117,3,0.3,0.02564102564102564
29,10,RNA-binding domain superfamily,127,3,0.3,0.023622047244094488
30,4,"ATP-dependent DNA helicase RecQ, zinc-binding domain",3,1,0.25,0.3333333333333333
30,4,"Alpha-2-macroglobulin RAP, C-terminal",1,1,0.25,1.0
30,4,"Alpha-2-macroglobulin RAP, domain 2",1,1,0.25,1.0
30,4,"Alpha-2-macroglobulin RAP, domain 3",1,1,0.25,1.0
30,4,Alpha-2-macroglobulin receptor-associated protein,1,1,0.25,1.0
30,4,"Alpha-2-macroglobulin receptor-associated protein, domain 1",1,1,0.25,1.0
30,4,Cystatin domain,1,1,0.25,1.0
30,4,Cystatin superfamily,1,1,0.25,1.0
30,4,DEAD/DEAH box helicase domain,35,1,0.25,0.02857142857142857
30,4,"DNA helicase, ATP-dependent, RecQ type",3,1,0.25,0.3333333333333333
30,4,"EF-Hand 1, calcium-binding site",52,1,0.25,0.019230769230769232
30,4,EF-hand domain,61,1,0.25,0.01639344262295082
30,4,EF-hand domain pair,68,1,0.25,0.014705882352941176
30,4,"Helicase superfamily 1/2, ATP-binding domain",43,1,0.25,0.023255813953488372
30,4,"Helicase, C-terminal domain-like",43,1,0.25,0.023255813953488372
30,4,P-loop containing nucleoside triphosphate hydrolase,269,1,0.25,0.0037174721189591076
30,4,"Proteinase inhibitor I25, cystatin, conserved site",1,1,0.25,1.0
30,4,"Proteinase inhibitor I25A, stefin",1,1,0.25,1.0
30,4,RAP domain superfamily,1,1,0.25,1.0
30,4,Winged helix-like DNA-binding domain superfamily,39,1,0.25,0.02564102564102564
31,10,ADP-ribosylation factor 1-5,3,1,0.1,0.3333333333333333
31,10,"Actinin-type actin-binding domain, conserved site",17,1,0.1,0.058823529411764705
31,10,BRCT domain,4,1,0.1,0.25
31,10,BRCT domain superfamily,6,1,0.1,0.16666666666666666
31,10,Band 7 domain,9,1,0.1,0.1111111111111111
