group,domain,Interpro ID,domain_count
139,"Proton-dependent oligopeptide transporter family//NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site//Alpha crystallin/Small heat shock protein, animal type//Dephospho-CoA kinase//Alpha crystallin/Hsp20 domain//GTP1/OBG, conserved site//Molybdopterin oxidoreductase//Molybdopterin oxidoreductase, 4Fe-4S domain//NADH:ubiquinone oxidoreductase, subunit G//Optic atrophy 3-like//T-complex protein 1, epsilon subunit//NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like//PTR2 family proton/oligopeptide symporter, conserved site//Nucleoporin protein Ndc1-Nup//NADH:ubiquinone oxidoreductase, subunit G, iron-sulphur binding//GTP binding protein, second domain//Heat shock protein beta-1, ACD domain//Peptidyl-prolyl cis-trans isomerase FKBP2/11//Developmentally regulated GTP-binding protein",IPR000109//IPR000283//IPR001436//IPR001977//IPR002068//IPR006074//IPR006656//IPR006963//IPR010228//IPR010754//IPR012718//IPR015405//IPR018456//IPR019049//IPR019574//IPR031662//IPR037876//IPR044609//IPR045001,19
14,"DeoC/FbaB/LacD aldolase//DDE superfamily endonuclease domain//HTH CenpB-type DNA-binding domain//DNA binding HTH domain, Psq-type//Deoxyribose-phosphate aldolase//Centromere protein CENP-B, C-terminal domain//CENP-B, dimerisation domain superfamily//Acidic leucine-rich nuclear phosphoprotein 32//U2A'/phosphoprotein 32 family A, C-terminal//Aldolase-type TIM barrel//Cavin family",IPR002915//IPR004875//IPR006600//IPR007889//IPR011343//IPR015115//IPR034882//IPR045081//IPR003603//IPR013785//IPR026752,11
140,"Torsin//Protein TFG//TFG, PB1 domain//DNA helicase, ATP-dependent, RecQ type//ATP-dependent DNA helicase RecQ, zinc-binding domain//BDHCT//NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3//RQC domain//RecQ-like DNA helicase BLM, N-terminal domain//RecQ-like DNA helicase BLM, BDHCT-box associated domain//PB1 domain//HRDC domain//HRDC-like superfamily//HRDC domain superfamily",IPR010448//IPR033512//IPR034857//IPR004589//IPR032284//IPR012532//IPR012576//IPR018982//IPR032437//IPR032439//IPR000270//IPR002121//IPR010997//IPR044876,14
141,"NSF attachment protein//SIS domain//Glucosamine-fructose-6-phosphate aminotransferase, isomerising//26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit//Glutamine amidotransferase type 2 domain//GlmS/AgaS, SIS domain 1//GlmS/FrlB, SIS domain 2//26S proteasome regulatory subunit RPN2, C-terminal//SIS domain superfamily//Glucosamine-fructose-6-phosphate aminotransferase, isomerising, N-terminal domain//26S proteasome non-ATPase regulatory subunit 1/RPN2, N-terminal domain//Cold-shock protein, DNA-binding//Cold shock domain//Cold-shock (CSD) domain//Proteasome/cyclosome repeat",IPR000744//IPR001347//IPR005855//IPR016642//IPR017932//IPR035466//IPR035490//IPR040623//IPR046348//IPR047084//IPR048570//IPR002059//IPR011129//IPR019844//IPR002015,15
142,"Large ribosomal subunit protein uL16, bacterial-type//Histone deacetylase family//3'-5' exonuclease domain//Histone deacetylase//Small ribosomal subunit protein uS5, eukaryotic/archaeal//Exosome-associated factor Rrp6, N-terminal//Ureohydrolase domain superfamily//Histone deacetylase domain//Protein S100-A6//Ribonuclease H superfamily//Histone deacetylase domain superfamily//Exosome complex exonuclease Rrp6-like//Serine/Threonine protein phosphatase PP2A-like//Rrp6-like, 3'-5' exonuclease domain//Small ribosomal subunit protein uS5//Small ribosomal subunit protein uS5, C-terminal//Small ribosomal subunit protein uS5, N-terminal//Small ribosomal subunit protein uS5, N-terminal, conserved site//Clathrin adaptor complex, small chain//Ribonuclease H-like superfamily//Large ribosomal subunit protein uL16 domain//Adaptor protein complex, sigma subunit//AP-2 complex subunit sigma//Large ribosomal subunit protein uL16 superfamily//Large ribosomal subunit protein uL16",IPR000114//IPR000286//IPR002562//IPR003084//IPR005711//IPR012588//IPR023696//IPR023801//IPR034118//IPR036397//IPR037138//IPR045092//IPR047129//IPR049559//IPR000851//IPR005324//IPR013810//IPR018192//IPR000804//IPR012337//IPR016180//IPR016635//IPR027156//IPR036920//IPR047873,25
143,"Calcium homeostasis endoplasmic reticulum protein//FERM domain-containing protein 6, FERM domain C-lobe//Patatin-like phospholipase domain containing protein 8-like//FERM domain-containing protein 6-like//Patatin-like phospholipase domain//Paired amphipathic helix//CID domain//Histone deacetylase interacting domain//Sin3, C-terminal//Paired amphipathic helix superfamily//Transcriptional regulatory protein Sin3-like",IPR039037//IPR041781//IPR045217//IPR047145//IPR002641//IPR003822//IPR006569//IPR013194//IPR031693//IPR036600//IPR039774,11
144,"Cation-transporting P-type ATPase, N-terminal//Cation-transporting P-type ATPase, C-terminal//P-type ATPase//P-type ATPase, A domain superfamily//P-type ATPase, phosphorylation site//P-type ATPase, transmembrane domain superfamily//P-type ATPase, cytoplasmic domain N//P-type ATPase, haloacid dehalogenase domain//HAD superfamily//HAD-like superfamily//Small ribosomal subunit protein eS26//Protein translocase complex, SecE/Sec61-gamma subunit//Squalene/phytoene synthase//Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase//Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal//Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain//P-type ATPase, subfamily IIA, PMR1-type//Squalene synthase-like//Protein translocase SEC61 complex, gamma subunit//Isoprenoid synthase domain superfamily//Tetratricopeptide repeat 2//Squalene/phytoene synthase, conserved site//Protein translocase SecE domain superfamily//DnaJ-like protein C11, C-terminal//ITPR-interacting domain//Sperm-specific antigen 2, C-terminal//Leu/Phe/Val dehydrogenases active site//Trans-isoprenyl diphosphate synthases, head-to-head//NAD(P) binding domain of glutamate dehydrogenase//G3BP2, RNA recognition motif//hnRNP DL, RNA recognition motif 1//Ribosomal protein eS26 superfamily//Endoplasmic reticulum chaperone BIP, nucleotide-binding domain//Protein TESPA1-like//Serine/threonine-protein PRP4, catalytic domain//Trans-isoprenyl diphosphate synthases, eukaryotic-type//Ribosomal protein eS26, conserved site",IPR004014//IPR006068//IPR001757//IPR008250//IPR018303//IPR023298//IPR023299//IPR044492//IPR023214//IPR036412//IPR000892//IPR001901//IPR002060//IPR006095//IPR006096//IPR006097//IPR006413//IPR006449//IPR008158//IPR008949//IPR013105//IPR019845//IPR023391//IPR024586//IPR029325//IPR029326//IPR033524//IPR033904//IPR033922//IPR034376//IPR034847//IPR038551//IPR042050//IPR043444//IPR044092//IPR044844//IPR047864,37
145,"Proline-tRNA ligase, class IIa//Mitochondrial inner membrane translocase complex, subunit Tim23//Calcium load-activated calcium channel//Cox20//Protein Pet117, mitochondrial//Prokaryote proline-tRNA ligase core domain//Tim23-like",IPR002316//IPR005681//IPR008559//IPR022533//IPR031568//IPR033730//IPR045238,7
146,"Peroxysomal long chain fatty acyl transporter//ABC transporter type 1, transmembrane domain//ABC transporter type 1, transmembrane domain superfamily//ABC transporter-like, ATP-binding domain//ABC transporter-like, conserved site//AAA+ ATPase domain",IPR005283//IPR011527//IPR036640//IPR003439//IPR017871//IPR003593,6
147,"Kelch repeat type 1//Zinc finger, FPG/IleRS-type//Soluble quinoprotein glucose/sorbosone dehydrogenase//Kelch-type beta propeller//SNARE-complex protein Syntaxin-18, N-terminal//Mediator complex, subunit Med16, N-terminal//Isoleucine-tRNA ligase, type 1//Ceramide glucosyltransferase//Protein quaking, putative nuclear localisation signal//STAR protein, homodimerisation region//Isoleucyl tRNA synthetase type 1, anticodon-binding domain//U1 small nuclear ribonucleoprotein A, RNA recognition motif 1//U1 small nuclear ribonucleoprotein A, RNA recognition motif 2//Host cell factor//Mediator complex, subunit Med16//Mediator complex subunit 16, C-terminal//Mediator of RNA polymerase II transcription subunit 16 , central helical bridge//Nucleotide-diphospho-sugar transferases",IPR006652//IPR010663//IPR011041//IPR015915//IPR019529//IPR021665//IPR023585//IPR025993//IPR032367//IPR032377//IPR033708//IPR034407//IPR034409//IPR043536//IPR048338//IPR048339//IPR048616//IPR029044,18
148,"Thyroglobulin type-1//Enolase//NADH-quinone oxidoreductase, subunit D//V-type ATPase subunit E//Peptidase M12B, propeptide//Isocitrate dehydrogenase NADP-dependent//ADAM, cysteine-rich domain//SDA1, middle domain//Cytoplasmic FMR1-interacting//CYRIA/CYRIB, Rac1 binding domain//SDA1, N-terminal//Methyltransferase type 11//NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site//Disintegrin, conserved site//Enolase, conserved site//Enolase, C-terminal TIM barrel domain//Enolase, N-terminal//NAD(P)H-quinone oxidoreductase subunit D/H//Sda1//[NiFe]-hydrogenase, large subunit//Enolase-like, N-terminal//Reprolysin domain, adamalysin-type//Enolase-like, C-terminal domain superfamily//Thyroglobulin type-1 superfamily//V-type ATPase subunit E, C-terminal domain superfamily//Transcription elongation regulator 1-like//SDA1, C-terminal domain",IPR000716//IPR000941//IPR001135//IPR002842//IPR002870//IPR004790//IPR006586//IPR007949//IPR008081//IPR009828//IPR012977//IPR013216//IPR014029//IPR018358//IPR020809//IPR020810//IPR020811//IPR022885//IPR027312//IPR029014//IPR029017//IPR034027//IPR036849//IPR036857//IPR038495//IPR045148//IPR048292,27
15,"AP endonuclease 1//Endonuclease/exonuclease/phosphatase//TROVE domain//Laminin IV type B//Myosin Light Chain Kinase 1, Kinase domain//Translation initiation factor 3 complex subunit L//GTP-binding protein, ribosome biogenesis, YsxC//AP endonuclease 1, binding site//AP endonuclease 1, conserved site//rRNA adenine dimethylase-like, C-terminal//Mitochondrial 28S ribosomal protein S31//Raftlin family//EngB-type guanine nucleotide-binding (G) domain//Putative adherens-junction anchoring domain//Cleavage and polyadenylation specificity factor subunit 6, RNA recognition motif//TROVE domain superfamily//RNA-binding protein RO60",IPR004808//IPR005135//IPR008858//IPR013015//IPR015725//IPR019382//IPR019987//IPR020847//IPR020848//IPR023165//IPR026299//IPR028169//IPR030393//IPR032402//IPR034769//IPR037214//IPR040322,17
150,"Large ribosomal subunit protein eL6//Large ribosomal subunit protein uL6, N-terminal//Large ribosomal subunit protein eL6, KOW domain//Large ribosomal subunit protein eL6, conserved site//Large ribosomal subunit protein eL18//Large ribosomal subunit protein eL18, conserved site//Large ribosomal subunit protein uL15/eL18//Large ribosomal subunit protein uL15/eL18 superfamily",IPR000915//IPR005568//IPR041997//IPR049633//IPR000039//IPR021132//IPR021131//IPR036227,8
151,"Aminoacyl-tRNA synthetase, class II//Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)//Aspartyl/Asparaginyl-tRNA synthetase, class IIb//Serine-tRNA ligase, type1//Aspartate-tRNA synthetase, type 2//ADP-specific phosphofructokinase/glucokinase//Bystin//Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm//C2H2-type Zinc finger protein, YY1-like//Leucine-rich repeat flightless-interacting protein 1/2//Leucine rich repeat 4//Ribokinase-like//Serine-tRNA ligase catalytic core domain//Chromodomain-helicase-DNA-binding protein 8//Serine-tRNA synthetase, type1, N-terminal domain superfamily",IPR006195//IPR045864//IPR002312//IPR002317//IPR004523//IPR007666//IPR007955//IPR010978//IPR017114//IPR019139//IPR025875//IPR029056//IPR033729//IPR034724//IPR042103,15
152,Transmembrane and ubiquitin-like domain-containing protein 1/2//Large ribosomal subunit protein uL14//Large ribosomal subunit protein uL14 superfamily//Ubiquitin-like domain,IPR040352//IPR000218//IPR036853//IPR000626,4
153,"FAD-binding domain//Magnesium transporter NIPA//Histidine phosphatase superfamily, clade-1//Glutamine-Leucine-Glutamine, QLQ//ProQ/FinO domain//bMERB domain//Signal recognition particle subunit SRP68//Diacylglycerol O-acyltransferase 1//Histidine phosphatase superfamily//Snf2, ATP coupling domain//SWI/SNF complex subunit BRG1, ATP-binding//SF3B4, RNA recognition motif 1//SF3B4, RNA recognition motif 2//Signal recognition particle subunit SRP68, RNA-binding domain//SRP68, N-terminal domain superfamily//CSPG repeat//Rab9//DHX15, DEXH-box helicase domain//Nesprin-1-like, first calponin homology domain//Nesprin-1-like, second calponin homology domain",IPR002938//IPR008521//IPR013078//IPR014978//IPR016103//IPR022735//IPR026258//IPR027251//IPR029033//IPR029295//IPR030100//IPR034158//IPR034159//IPR034652//IPR038253//IPR039005//IPR041824//IPR044756//IPR047290//IPR047291,20
154,"DnaJ domain, conserved site//DnaJ domain//Chaperone J-domain superfamily//Ubiquitin C-terminal hydrolase-like, DUF3517//Domain of unknown function DUF1977, DnaJ-like//Ubiquitin specific protease, conserved site//Peptidase C19, ubiquitin carboxyl-terminal hydrolase//Ubiquitin specific protease domain//DnaJ homolog subfamily B member 2/6-like",IPR018253//IPR001623//IPR036869//IPR021905//IPR015399//IPR018200//IPR001394//IPR028889//IPR043183,9
155,"Histone-fold//Histone H2A/H2B/H3//Intermediate filament protein, conserved site//Intermediate filament, rod domain",IPR009072//IPR007125//IPR018039//IPR039008,4
156,"ATP-dependent RNA helicase DEAD-box, conserved site//Zinc finger, GATA-type//ATP synthase, F0 complex, subunit B/MI25//Translation initiation factor 2, alpha subunit//T-complex protein 1, theta subunit//ATP synthase, F0 complex, subunit B//26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit//Translation initiation factor 2, alpha subunit, middle domain superfamily//Translation initiation factor 2, alpha subunit, C-terminal//Transcriptional repressor p66, coiled-coil MBD2-interaction domain//Type II phosphatidylinositol 4-kinase Lsb6/PI4K2//Transcriptional repressor p66//RPN1, N-terminal//26S proteasome non-ATPase regulatory subunit RPN1, C-terminal//IF2a, S1-like domain//RNA helicase, DEAD-box type, Q motif",IPR000629//IPR000679//IPR008688//IPR011488//IPR012721//IPR013837//IPR016643//IPR024054//IPR024055//IPR032346//IPR039756//IPR040386//IPR040892//IPR041433//IPR044126//IPR014014,16
157,"Myosin head, motor domain//IQ motif, EF-hand binding site//Kinesin motor domain superfamily//Tubulin//Tubulin/FtsZ, GTPase domain//Tubulin/FtsZ, C-terminal//Tubulin, conserved site//Tubulin/FtsZ, 2-layer sandwich domain//Tubulin, C-terminal//Tubulin/FtsZ, GTPase domain superfamily//Tubulin/FtsZ-like, C-terminal domain//Clathrin, heavy chain/VPS, 7-fold repeat//Citrate synthase, eukaryotic-type//Clathrin, heavy chain, linker, core motif//Clathrin heavy chain, N-terminal//Citrate synthase-like, large alpha subdomain//Clathrin, heavy chain//Citrate synthase active site//Clathrin, heavy chain, propeller repeat//CLASP N-terminal domain//XMAP215//XMAP215/Dis1/CLASP, TOG domain",IPR001609//IPR000048//IPR036961//IPR000217//IPR003008//IPR008280//IPR017975//IPR018316//IPR023123//IPR036525//IPR037103//IPR000547//IPR010109//IPR015348//IPR016025//IPR016142//IPR016341//IPR019810//IPR022365//IPR024395//IPR045110//IPR048491,22
158,"PSF, RNA recognition motif 1//PSF, NOPS domain//NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 8//NOPS//ATPase family AAA domain-containing protein 3, N-terminal//STML2-like, C-terminal extension//ATPase family AAA domain-containing protein 3//Stomatin/HflK family",IPR034525//IPR034526//IPR016680//IPR012975//IPR021911//IPR032435//IPR039188//IPR001972,8
159,"Vinculin//Small ribosomal subunit protein bS1m//Lipase, eukaryotic//Vinculin, conserved site//Vinculin/alpha-catenin//Alpha-catenin/vinculin-like superfamily",IPR017997//IPR019375//IPR025483//IPR000633//IPR006077//IPR036723,6
160,"DNA-dependent protein kinase catalytic subunit, CC3//HBS1-like protein, N-terminal//UBAP2/protein lingerer//Matrin-3, RNA recognition motif 1//Matrin-3, RNA recognition motif 2//HBS1-like protein, N-terminal domain superfamily//DNA-dependent protein kinase catalytic subunit, catalytic domain//DNA-dependent protein kinase catalytic subunit, CC5//DNA-dependent protein kinase catalytic subunit, CC1/2//DNA-PKcs, N-terminal//S1-like RNA binding domain//Cell cycle and apoptosis regulator protein//DBC1/CARP1 catalytically inactive NUDIX hydrolase domain//Nuclear pore complex protein Nup214, phenylalanine-glycine (FG) domain//LAIKA domain//BURAN domain",IPR012582//IPR015033//IPR022166//IPR034928//IPR034930//IPR037189//IPR037706//IPR045581//IPR046803//IPR046804//IPR025223//IPR025224//IPR025954//IPR041553//IPR045353//IPR045354,16
161,"Electron transfer flavoprotein, beta-subunit, conserved site//Electron transfer flavoprotein, beta subunit//CBF1-interacting co-repressor CIR, N-terminal domain//Pre-mRNA splicing factor//Electron transfer flavoprotein, beta subunit, N-terminal//14-3-3 theta//Protein Peter Pan-like//Phosphate transporter//Brix domain//CARG-binding factor, N-terminal//Electron transfer flavoprotein, alpha/beta-subunit, N-terminal",IPR000049//IPR012255//IPR019339//IPR022209//IPR033948//IPR042584//IPR045112//IPR001204//IPR007109//IPR012956//IPR014730,11
162,"Oxoglutarate/iron-dependent dioxygenase//Prolyl 4-hydroxylase, alpha subunit//Procollagen-lysine 5-dioxygenase, conserved site//Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain//Pancreatic trypsin inhibitor Kunitz domain//Proteinase inhibitor I2, Kunitz, conserved site//Pancreatic trypsin inhibitor Kunitz domain superfamily//Collagen triple helix repeat",IPR005123//IPR006620//IPR001006//IPR044861//IPR002223//IPR020901//IPR036880//IPR008160,8
163,"DNA-directed RNA polymerase, phage-type//Large ribosomal subunit protein mL40//DNA-directed RNA polymerase, N-terminal//DNA-directed RNA polymerase, N-terminal domain superfamily//Large ribosomal subunit protein mL40, metazoa/plants//DNA/RNA polymerase superfamily//mRNA 3'-end-processing protein Rna14-like//DNA-directed RNA polymerase, C-terminal domain, phage-type//Tetratricopeptide-like helical domain superfamily//Suppressor of forked//Iron-binding zinc finger, CDGSH type//Iron sulphur domain-containing, mitoNEET, N-terminal//MitoNEET, CDGSH iron-sulfur domain//CDGSH iron-sulfur domain-containing protein 1/2//HAT (Half-A-TPR) repeat",IPR002092//IPR019192//IPR029262//IPR037159//IPR039145//IPR043502//IPR045243//IPR046950//IPR011990//IPR008847//IPR018967//IPR019610//IPR042216//IPR045131//IPR003107,15
164,"ABC transporter-like, ATP-binding domain//ABC transporter-like, conserved site//FAD-dependent glycerol-3-phosphate dehydrogenase//SAND domain//HSR domain//Small EDRK-rich factor-like, N-terminal//SAND-like domain superfamily//VWA N-terminal//Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region//Synaptic vesicle protein SV2//ZNF706/At2g23090 superfamily//Alpha-glycerophosphate oxidase, C-terminal//Alpha-glycerophosphate oxidase, C-terminal domain superfamily//SURP and G-patch domain-containing protein 1/2//Nuclear body protein Sp110/Sp140/Sp140L-like//Zinc finger protein MBS1/2-like",IPR003439//IPR017871//IPR000447//IPR000770//IPR004865//IPR007513//IPR010919//IPR013608//IPR013680//IPR022308//IPR026939//IPR031656//IPR038299//IPR040169//IPR043563//IPR045230,16
165,"Arf GTPase activating protein//Leucine zipper, homeobox-associated//Sugar phosphate transporter domain//Eukaryotic translation initiation factor 3 subunit D//Golgin subfamily B member 1//ARFGAP/RecO-like zinc finger//ArfGAP domain superfamily",IPR001164//IPR003106//IPR004853//IPR007783//IPR026202//IPR037278//IPR038508,7
166,"Annexin//Annexin repeat, conserved site//Annexin repeat//Annexin superfamily//Annexin A4//Aminoglycoside phosphotransferase//PA domain//HAD hydrolase, subfamily IA//Rad21/Rec8-like protein, C-terminal, eukaryotic//Rad21/Rec8-like protein, N-terminal//Transferrin receptor-like, dimerisation domain//Protein FAM210A/B-like domain//Predicted HAD-superfamily phosphatase, subfamily IA/Epoxide hydrolase, N-terminal//NADH:ubiquinone oxidoreductase, NDUFB5/SGDH subunit//Telomere-length maintenance and DNA damage repair//ScpA-like, C-terminal//Phosphoglycolate phosphatase-like, domain 2//Golgi SNAP receptor complex, subunit 1//hnRNPH3, RNA recognition motif 3//hnRNPH3, RNA recognition motif 2//Transferrin receptor-like, dimerisation domain superfamily//Transferrin receptor protein 1/2, PA domain//Serine/threonine-protein kinase ATM, plant//Transferrin receptor protein 1/Glutamate carboxypeptidase 2-like//Rad21/Rec8-like protein//Acyl-CoA dehydrogenase family member 10/11, N-terminal//ATM, catalytic domain//Aldehyde dehydrogenase family 7 member A1-like//Protein FAM210A/B-like//PA domain superfamily//NXP-1, middle HEAT-repeat binding domain",IPR001464//IPR018252//IPR018502//IPR037104//IPR002391//IPR002575//IPR003137//IPR006439//IPR006909//IPR006910//IPR007365//IPR009688//IPR011945//IPR019173//IPR021668//IPR023093//IPR023198//IPR023601//IPR034969//IPR034970//IPR036757//IPR037324//IPR038980//IPR039373//IPR039781//IPR041726//IPR044107//IPR044638//IPR045866//IPR046450//IPR049589,31
167,"Gamma tubulin//Tyrosine-protein kinase, non-receptor Jak/Tyk2//Tyrosine-protein kinase, non-receptor Jak1//JAK, FERM F2 lobe domain//FERM F1 lobe ubiquitin-like domain//JAK1-3/TYK2, pleckstrin homology-like domain//SH2 domain//Serine-threonine protein phosphatase, N-terminal//SH2 domain superfamily//Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase",IPR002454//IPR016251//IPR020776//IPR041046//IPR041155//IPR041381//IPR000980//IPR031675//IPR036860//IPR006186,10
168,"Dystroglycan-type cadherin-like//Dystroglycan, C-terminal//Alpha-dystroglycan domain 2//DG-type SEA domain//Alpha-dystroglycan N-terminal domain 2//1-acyl-sn-glycerol-3-phosphate acyltransferase//YLP motif-containing protein 1",IPR006644//IPR008465//IPR027468//IPR030398//IPR041631//IPR004552//IPR026314,7
169,"DNA mismatch repair protein MutS/MSH//DnaJ homolog subfamily C member 16, TRX domain//DNA mismatch repair protein MutS, C-terminal//SCAMP//DNA mismatch repair protein MutS-like, N-terminal//DNA mismatch repair protein MutS, core//DNA mismatch repair protein MutS, connector domain//DNA mismatch repair protein MutS, clamp//DNA mismatch repair protein MutS, N-terminal//DNA mismatch repair protein MutS, core domain superfamily//MutS, connector domain superfamily//DNA mismatch repair MutS family",IPR017261//IPR043361//IPR000432//IPR007273//IPR007695//IPR007696//IPR007860//IPR007861//IPR016151//IPR036187//IPR036678//IPR045076,12
17,"Aminoacyl-tRNA synthetase, class Ic//Tryptophan-tRNA ligase//Tryptophan-tRNA ligase, bacterial-type//Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain//Polyribonucleotide 5-hydroxyl-kinase Clp1/Grc3//Kinase associated domain 1 (KA1)//NADH-ubiquinone oxidoreductase, subunit 10//KA1 domain/Ssp2, C-terminal//NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10//Transducin beta-like protein 2//Serine/threonine-protein kinase MARK 1-4, catalytic domain//Peroxiredoxin, AhpC-type",IPR002305//IPR002306//IPR024109//IPR032319//IPR045116//IPR001772//IPR019377//IPR028375//IPR039993//IPR042410//IPR049508//IPR024706,12
170,"Large ribosomal subunit protein eL15//Large ribosomal subunit protein eL15, conserved site//Large ribosomal subunit protein eL15 core domain superfamily//GOSR2/Membrin/Bos1//Vesicle transport v-SNARE, N-terminal//ROK, N-terminal//RNA binding activity-knot of a chromodomain//Matrix-remodeling-associated protein 7//Vesicle transport v-SNARE, N-terminal domain superfamily//MRG//MRG domain//MRG, C-terminal domain superfamily//Chromo-like domain superfamily",IPR000439//IPR020925//IPR024794//IPR027027//IPR007705//IPR012987//IPR025995//IPR026622//IPR038407//IPR008676//IPR026541//IPR038217//IPR016197,13
171,"Quinone oxidoreductase/zeta-crystallin, conserved site//Glutamine-tRNA synthetase//Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2//Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal//NF-kappa-B-activating protein, C-terminal//Alcohol dehydrogenase-like, N-terminal//NF-kappa-B-activating protein//Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 1//Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 2//GroES-like superfamily//Large ribosomal subunit protein bL25/Gln-tRNA synthetase, anti-codon-binding domain superfamily//Coatomer beta' subunit (COPB2)//Large ribosomal subunit protein bL25/Gln-tRNA synthetase, N-terminal//Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain//Polyketide synthase, enoylreductase domain//tRNA synthetases class I (E and Q), anti-codon binding domain//Glutamyl/glutaminyl-tRNA synthetase//Coatomer, WD associated region//Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain",IPR002364//IPR004514//IPR007638//IPR007639//IPR009269//IPR013154//IPR040466//IPR042558//IPR042559//IPR011032//IPR011035//IPR016453//IPR020056//IPR020059//IPR020843//IPR049437//IPR000924//IPR006692//IPR020058,19
172,"Apoptosis regulator, Bcl-2 protein, BH4//Apoptosis regulator, Bcl-2/ BclX//Protein RED, C-terminal//RED-like, N-terminal//Apoptosis regulator, Bcl-X//Apoptosis regulator, Bcl-2, BH4 motif, conserved site//Protein Red-like//Apoptosis regulator, Bcl-2, BH1 motif, conserved site//Apoptosis regulator, Bcl-2, BH2 motif, conserved site//Apoptosis regulator, Bcl-2, BH3 motif, conserved site//Bcl-2 family//Potassium channel tetramerisation-type BTB domain//BTB/POZ domain-containing protein KCTD18, C-terminal domain//Bcl2-like//Bcl-2-like superfamily//Bcl-2, Bcl-2 homology region 1-3//SKP1/BTB/POZ domain superfamily//Ribosomal RNA methyltransferase, FtsJ domain//Ribosomal RNA large subunit methyltransferase E",IPR003093//IPR004725//IPR012492//IPR012916//IPR013279//IPR020731//IPR039896//IPR020717//IPR020726//IPR020728//IPR026298//IPR003131//IPR045704//IPR002475//IPR036834//IPR046371//IPR011333//IPR002877//IPR015507,19
173,"Major vault protein, N-terminal//VIT domain//Major vault protein, shoulder domain//Protein mono-ADP-ribosyltransferase PARP4//Sequestosome-1, UBA domain//Sequestosome-1, PB1 domain//SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D 3, SWIB domain//Major vault protein//Major vault protein repeat domain 3//Major vault protein repeat domain 2//Major vault protein repeat domain 4//Major vault protein repeat domain//Major vault protein repeat domain superfamily//Major vault protein repeat domain 2 superfamily//SWIB/MDM2 domain//Poly(ADP-ribose) polymerase, regulatory domain//SNF5/SMARCB1/INI1//Chromatin-remodeling complex component Sfh1/SNF5//SWIB domain//Poly(ADP-ribose) polymerase, regulatory domain superfamily//SWIB/MDM2 domain superfamily//SWI/SNF Subunit INI1, DNA binding domain//PB1 domain//Poly(ADP-ribose) polymerase, catalytic domain//BRCT domain",IPR002499//IPR013694//IPR021870//IPR031273//IPR033741//IPR034866//IPR038043//IPR039059//IPR040989//IPR041134//IPR041136//IPR041139//IPR043023//IPR043179//IPR003121//IPR004102//IPR006939//IPR017393//IPR019835//IPR036616//IPR036885//IPR048664//IPR000270//IPR012317//IPR001357,25
174,"DPF1-3, N-terminal domain//K/Cl co-transporter//K/Cl co-transporter 1//SRSF6, RNA recognition motif 1//Amino acid permease/ SLC12A domain//SLC12A transporter family//Cleft lip and palate transmembrane 1//SLC12A transporter, C-terminal",IPR025750//IPR000076//IPR000622//IPR034511//IPR004841//IPR004842//IPR008429//IPR018491,8
175,"Lysosome-associated membrane glycoprotein//Lysosome-associated membrane glycoprotein, conserved site//Lysosome-associated membrane glycoprotein 2-like, transmembrane domain//Lysosome-associated membrane glycoprotein 2-like, luminal domains//EGF-like domain, extracellular//Integrin beta subunit, VWA domain//Integrin beta subunit, tail//Integrin beta subunit, cytoplasmic domain//Integrin beta subunit//Integrin beta N-terminal//Integrin beta tail domain superfamily//Integrin beta, epidermal growth factor-like domain 1//PSI domain",IPR002000//IPR018134//IPR048524//IPR048528//IPR013111//IPR002369//IPR012896//IPR014836//IPR015812//IPR033760//IPR036349//IPR040622//IPR016201,13
