Interpro ID,group,proteins,p_value,odds_ratio,domain_in_group,total_domain,protein_in_group,total_protein,domain
IPR000082,33,HSPG2,0.0036092911719184913,736.6666666666666,1,2,4,2215,SEA domain
IPR016040,39,BLVRB,0.0036092911719184913,736.6666666666666,1,2,4,2215,NAD(P)-binding domain
IPR038851,39,RAP1A,0.0036092911719184913,736.6666666666666,1,2,4,2215,Ras-related protein Rap1
IPR008417,32,BCAP29,0.0036092911719184913,736.6666666666666,1,2,4,2215,B-cell receptor-associated protein 29/31
IPR040463,32,BCAP29,0.0036092911719184913,736.6666666666666,1,2,4,2215,"BAP29/BAP31, transmembrane domain"
IPR041672,32,BCAP29,0.0036092911719184913,736.6666666666666,1,2,4,2215,Bap31/Bap29 cytoplasmic coiled-coil domain
IPR002130,42,PPIF,0.0036092911719184913,736.6666666666666,1,4,2,2215,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain
IPR020892,42,PPIF,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
IPR029000,42,PPIF,0.0036092911719184913,736.6666666666666,1,4,2,2215,Cyclophilin-like domain superfamily
IPR017930,45,CDC5L,0.0036092911719184913,736.6666666666666,1,2,4,2215,Myb domain
IPR034152,45,SLIRP,0.0036092911719184913,736.6666666666666,1,2,4,2215,"SLIRP, RNA recognition motif"
IPR020457,176,TRIM27,0.0036092911719184913,736.6666666666666,1,2,4,2215,"Zinc finger, B-box, chordata"
IPR022113,176,TMEM131,0.0036092911719184913,736.6666666666666,1,2,4,2215,"Transmembrane protein 131-like, N-terminal"
IPR035791,176,TRIM27,0.0036092911719184913,736.6666666666666,1,2,4,2215,"TRIM27, PRY/SPRY domain"
IPR039877,176,TMEM131,0.0036092911719184913,736.6666666666666,1,2,4,2215,Transmembrane protein 131-like
IPR045695,176,TMEM131,0.0036092911719184913,736.6666666666666,1,2,4,2215,"Transmembrane protein 131-like, conserved domain"
IPR009764,83,OCIAD1,0.0036092911719184913,736.6666666666666,1,4,2,2215,Ovarian carcinoma immunoreactive antigen domain
IPR019319,83,PLGRKT,0.0036092911719184913,736.6666666666666,1,4,2,2215,Plasminogen receptor (KT)
IPR040187,83,OCIAD1,0.0036092911719184913,736.6666666666666,1,4,2,2215,OCIA domain-containing protein 1/2
IPR021900,52,BRD9,0.0036092911719184913,736.6666666666666,1,2,4,2215,Protein of unknown function DUF3512
IPR021900,59,BRD9,0.005411489780812029,441.6,1,2,6,2215,Protein of unknown function DUF3512
IPR040176,52,RNF121,0.0036092911719184913,736.6666666666666,1,2,4,2215,RING finger protein RNF121/RNF175
IPR040176,218,RNF121,0.007212057071661762,315.14285714285717,1,2,8,2215,RING finger protein RNF121/RNF175
IPR000237,55,GOLGA4,0.0036092911719184913,736.6666666666666,1,2,4,2215,GRIP domain
IPR000595,55,PRKAR2A,0.0036092911719184913,736.6666666666666,1,2,4,2215,Cyclic nucleotide-binding domain
IPR018490,55,PRKAR2A,0.0036092911719184913,736.6666666666666,1,2,4,2215,Cyclic nucleotide-binding domain superfamily
IPR003108,72,GAS2L2,0.0036092911719184913,736.6666666666666,1,4,2,2215,GAR domain
IPR036534,72,GAS2L2,0.0036092911719184913,736.6666666666666,1,4,2,2215,GAR domain superfamily
IPR000640,74,EEF2,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Elongation factor EFG, domain V-like"
IPR008395,74,FMR1,0.0036092911719184913,736.6666666666666,1,4,2,2215,Agenet-like domain
IPR022034,74,FMR1,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Fragile X messenger ribonucleoprotein 1-like, C-terminal core"
IPR031157,74,EEF2,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Tr-type G domain, conserved site"
IPR035647,74,EEF2,0.0036092911719184913,736.6666666666666,1,4,2,2215,EF-G domain III/V-like
IPR040148,74,FMR1,0.0036092911719184913,736.6666666666666,1,4,2,2215,Fragile X messenger ribonucleoprotein 1
IPR040472,74,FMR1,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Synaptic functional regulator FMRP, KH0 domain"
IPR041560,74,FMR1,0.0036092911719184913,736.6666666666666,1,4,2,2215,"FMR1, tudor domain"
IPR021567,198,PSIP1,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Lens epithelium-derived growth factor, integrase-binding domain"
IPR036218,198,PSIP1,0.0036092911719184913,736.6666666666666,1,4,2,2215,HIV integrase-binding domain superfamily
IPR008428,81,CHPF,0.0036092911719184913,736.6666666666666,1,4,2,2215,Chondroitin N-acetylgalactosaminyltransferase
IPR005292,80,ABCC1,0.0036092911719184913,736.6666666666666,1,4,2,2215,Multi drug resistance-associated protein
IPR000095,208,CDC42EP4,0.0036092911719184913,736.6666666666666,1,2,4,2215,CRIB domain
IPR005011,208,SART1,0.0036092911719184913,736.6666666666666,1,2,4,2215,SNU66/SART1 family
IPR029273,208,CDC42EP4,0.0036092911719184913,736.6666666666666,1,2,4,2215,Cdc42 effector-like
IPR045347,208,SART1,0.0036092911719184913,736.6666666666666,1,2,4,2215,HIND motif
IPR003131,172,KCTD18,0.0036092911719184913,736.6666666666666,1,2,4,2215,Potassium channel tetramerisation-type BTB domain
IPR045704,172,KCTD18,0.0036092911719184913,736.6666666666666,1,2,4,2215,"BTB/POZ domain-containing protein KCTD18, C-terminal domain"
IPR007822,211,LANCL1,0.0036092911719184913,736.6666666666666,1,2,4,2215,Lanthionine synthetase C-like
IPR020464,211,LANCL1,0.0036092911719184913,736.6666666666666,1,2,4,2215,"LanC-like protein, eukaryotic"
IPR000872,126,TAZ,0.0036092911719184913,736.6666666666666,1,4,2,2215,Tafazzin
IPR005097,126,AASS,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Saccharopine dehydrogenase, NADP binding domain"
IPR007698,126,AASS,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain"
IPR007886,126,AASS,0.0036092911719184913,736.6666666666666,1,4,2,2215,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal"
IPR003653,182,SENP3,0.0036092911719184913,736.6666666666666,1,2,4,2215,"Ulp1 protease family, C-terminal catalytic domain"
IPR045577,182,SENP3,0.0036092911719184913,736.6666666666666,1,2,4,2215,"Sentrin-specific protease 3/5, conserved domain"
IPR000218,152,MRPL14,0.0036092911719184913,736.6666666666666,1,4,2,2215,Large ribosomal subunit protein uL14
IPR036853,152,MRPL14,0.0036092911719184913,736.6666666666666,1,4,2,2215,Large ribosomal subunit protein uL14 superfamily
IPR036305,204,MYH9,0.0036092911719184913,736.6666666666666,1,4,2,2215,RGS domain superfamily
IPR036305,215,MYH9,0.0090048977113737,183.91666666666666,1,4,5,2215,RGS domain superfamily
IPR023576,179,RRP8,0.0036092911719184913,736.6666666666666,1,2,4,2215,"UbiE/COQ5 methyltransferase, conserved site"
IPR023576,178,COQ5,0.006311977340992372,367.8333333333333,1,2,7,2215,"UbiE/COQ5 methyltransferase, conserved site"
IPR012966,232,ANLN,0.0036117381489841984,inf,1,1,8,2215,Anillin homology domain
IPR028124,232,KNOP1,0.0036117381489841984,inf,1,1,8,2215,Small acidic protein-like domain
IPR031970,232,ANLN,0.0036117381489841984,inf,1,1,8,2215,"Anillin, N-terminal domain"
IPR034099,232,SNRPD3,0.0036117381489841984,inf,1,1,8,2215,Small nuclear ribonucleoprotein Sm D3
IPR037840,232,ANLN,0.0036117381489841984,inf,1,1,8,2215,"Anillin, PH domain"
IPR000876,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,Small ribosomal subunit protein eS4
IPR013843,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, N-terminal"
IPR013845,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, central region"
IPR018199,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, N-terminal, conserved site"
IPR030240,96,ABCC4,0.0036117381489841984,inf,1,1,8,2215,"ATP-binding cassette sub-family C member 4, six-transmembrane helical domain 1"
IPR032277,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, C-terminal domain"
IPR034989,96,EMD,0.0036117381489841984,inf,1,1,8,2215,"Emerin, LEM domain"
IPR035004,96,EMD,0.0036117381489841984,inf,1,1,8,2215,Emerin
IPR038237,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, central domain superfamily"
IPR039899,96,BET1,0.0036117381489841984,inf,1,1,8,2215,"BET1, SNARE domain"
IPR041982,96,RPS4X,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein eS4, KOW domain"
IPR047083,96,ABCC4,0.0036117381489841984,inf,1,1,8,2215,"ATP-binding cassette sub-family C member 4, six-transmembrane helical domain 2"
IPR000289,87,RPS28,0.0036117381489841984,inf,1,1,8,2215,Small ribosomal subunit protein eS28
IPR000988,87,RPL24,0.0036117381489841984,inf,1,1,8,2215,Large ribosomal subunit protein eL24-related
IPR002343,87,ELAVL1,0.0036117381489841984,inf,1,1,8,2215,Paraneoplastic encephalomyelitis antigen
IPR006548,87,ELAVL1,0.0036117381489841984,inf,1,1,8,2215,Splicing factor ELAV/Hu
IPR019342,87,NDUFS5,0.0036117381489841984,inf,1,1,8,2215,"NADH:ubiquinone oxidoreductase, iron-sulphur subunit 5"
IPR023442,87,RPL24,0.0036117381489841984,inf,1,1,8,2215,"Large ribosomal subunit protein eL24, conserved site"
IPR028626,87,RPS28,0.0036117381489841984,inf,1,1,8,2215,Ribosomal protein eS28 conserved site
IPR034996,87,ELAVL1,0.0036117381489841984,inf,1,1,8,2215,"HuR, RNA recognition motif 2"
IPR038630,87,RPL24,0.0036117381489841984,inf,1,1,8,2215,Ribosomal protein L24e/L24 superfamily
IPR002403,43,CYP51A1,0.0036117381489841984,inf,1,1,8,2215,"Cytochrome P450, E-class, group IV"
IPR004113,43,AGPS,0.0036117381489841984,inf,1,1,8,2215,"FAD-binding oxidoreductase/transferase, type 4, C-terminal"
IPR007231,43,NUP93,0.0036117381489841984,inf,1,1,8,2215,Nucleoporin interacting component Nup93/Nic96
IPR014898,43,LYAR,0.0036117381489841984,inf,1,1,8,2215,"Zinc finger, C2H2, LYAR-type"
IPR016164,43,AGPS,0.0036117381489841984,inf,1,1,8,2215,"FAD-linked oxidase-like, C-terminal"
IPR016167,43,AGPS,0.0036117381489841984,inf,1,1,8,2215,"FAD-binding, type PCMH, subdomain 1"
IPR016171,43,AGPS,0.0036117381489841984,inf,1,1,8,2215,"Vanillyl-alcohol oxidase, C-terminal subdomain 2"
IPR025650,43,AGPS,0.0036117381489841984,inf,1,1,8,2215,Alkyldihydroxyacetonephosphate synthase
IPR037610,43,STIM2,0.0036117381489841984,inf,1,1,8,2215,"Stromal interaction molecule 2, SAM domain"
IPR039999,43,LYAR,0.0036117381489841984,inf,1,1,8,2215,Cell growth-regulating nucleolar protein
IPR041010,43,LYAR,0.0036117381489841984,inf,1,1,8,2215,Acetyl-coA carboxylase zinc finger domain
IPR001461,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,Aspartic peptidase A1 family
IPR001969,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,"Aspartic peptidase, active site"
IPR009109,113,RANGAP1,0.0036117381489841984,inf,1,1,8,2215,"Ran-GTPase activating protein 1, C-terminal"
IPR012848,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,"Aspartic peptidase, N-terminal"
IPR021109,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,Aspartic peptidase domain superfamily
IPR027038,113,RANGAP1,0.0036117381489841984,inf,1,1,8,2215,Ran GTPase-activating protein
IPR033121,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,Peptidase family A1 domain
IPR033144,113,CTSD,0.0036117381489841984,inf,1,1,8,2215,Cathepsin D
IPR036720,113,RANGAP1,0.0036117381489841984,inf,1,1,8,2215,"Ran-GTPase activating protein 1, C-terminal domain superfamily"
IPR019329,218,NDUFB11,0.0036117381489841984,inf,1,1,8,2215,"NADH:ubiquinone oxidoreductase, ESSS subunit"
IPR034846,218,HNRNPAB,0.0036117381489841984,inf,1,1,8,2215,"hnRNPAB, RNA recognition motif 1"
IPR001915,63,ZMPSTE24,0.0036117381489841984,inf,1,1,8,2215,Peptidase M48
IPR002222,63,RPS15,0.0036117381489841984,inf,1,1,8,2215,Small ribosomal subunit protein uS19
IPR002640,63,PON2,0.0036117381489841984,inf,1,1,8,2215,Arylesterase
IPR005713,63,RPS15,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein uS19, eukaryotic/archaeal"
IPR008364,63,PON2,0.0036117381489841984,inf,1,1,8,2215,Paraoxonase2
IPR008384,63,ARPC4,0.0036117381489841984,inf,1,1,8,2215,Actin-related protein 2/3 complex subunit 4
IPR020934,63,RPS15,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein uS19, conserved site"
IPR023575,63,RPS15,0.0036117381489841984,inf,1,1,8,2215,"Small ribosomal subunit protein uS19, superfamily"
IPR027057,63,ZMPSTE24,0.0036117381489841984,inf,1,1,8,2215,CAAX prenyl protease 1
IPR032456,63,ZMPSTE24,0.0036117381489841984,inf,1,1,8,2215,"CAAX prenyl protease 1, N-terminal"
IPR034666,63,ARPC4,0.0036117381489841984,inf,1,1,8,2215,Arp2/3 complex subunit 2/4
IPR004493,128,LARS,0.0036117381489841984,inf,1,1,8,2215,"Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic"
IPR014775,128,LIN7C,0.0036117381489841984,inf,1,1,8,2215,"L27 domain, C-terminal"
IPR017365,128,LIN7C,0.0036117381489841984,inf,1,1,8,2215,Protein lin-7
IPR019163,128,THOC5,0.0036117381489841984,inf,1,1,8,2215,"THO complex, subunit 5"
IPR028482,128,S100A11,0.0036117381489841984,inf,1,1,8,2215,Protein S100-A11
IPR035607,128,SORBS3,0.0036117381489841984,inf,1,1,8,2215,"Vinexin, SH3 domain 3"
IPR035608,128,SORBS3,0.0036117381489841984,inf,1,1,8,2215,"Vinexin, SH3 domain 2"
IPR035609,128,SORBS3,0.0036117381489841984,inf,1,1,8,2215,"Vinexin, SH3 domain 1"
IPR039037,143,CHERP,0.0036117381489841984,inf,1,1,8,2215,Calcium homeostasis endoplasmic reticulum protein
IPR041781,143,FRMD6,0.0036117381489841984,inf,1,1,8,2215,"FERM domain-containing protein 6, FERM domain C-lobe"
IPR045217,143,PNPLA8,0.0036117381489841984,inf,1,1,8,2215,Patatin-like phospholipase domain containing protein 8-like
IPR047145,143,FRMD6,0.0036117381489841984,inf,1,1,8,2215,FERM domain-containing protein 6-like
IPR001607,101,USP39,0.0036117381489841984,inf,1,1,8,2215,"Zinc finger, UBP-type"
IPR007230,101,NUP98,0.0036117381489841984,inf,1,1,8,2215,"Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain"
IPR021967,101,NUP98,0.0036117381489841984,inf,1,1,8,2215,"Nuclear pore complex protein NUP96, C-terminal domain"
IPR033809,101,USP39,0.0036117381489841984,inf,1,1,8,2215,USP39
IPR036903,101,NUP98,0.0036117381489841984,inf,1,1,8,2215,"Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain superfamily"
IPR037665,101,NUP98,0.0036117381489841984,inf,1,1,8,2215,Nucleoporin peptidase S59-like
IPR042472,101,MXRA8,0.0036117381489841984,inf,1,1,8,2215,Matrix remodeling-associated protein 8
IPR001312,110,HK1,0.0036117381489841984,inf,1,1,8,2215,Hexokinase
IPR009283,110,CANT1,0.0036117381489841984,inf,1,1,8,2215,Apyrase
IPR013243,110,ATXN7,0.0036117381489841984,inf,1,1,8,2215,SCA7 domain
IPR019807,110,HK1,0.0036117381489841984,inf,1,1,8,2215,"Hexokinase, binding site"
IPR020373,110,MRPS36,0.0036117381489841984,inf,1,1,8,2215,Alpha-ketoglutarate dehydrogenase component 4/YMR-31
IPR022672,110,HK1,0.0036117381489841984,inf,1,1,8,2215,"Hexokinase, N-terminal"
IPR022673,110,HK1,0.0036117381489841984,inf,1,1,8,2215,"Hexokinase, C-terminal"
IPR036258,110,CANT1,0.0036117381489841984,inf,1,1,8,2215,Apyrase superfamily
IPR044728,110,EIF4A1,0.0036117381489841984,inf,1,1,8,2215,"ATP-dependent RNA helicase eIF4A, DEAD-box helicase domain"
IPR003959,95,PSMC5;NSF;PEX6,0.0036386704058739726,11.592857142857143,3,23,31,2215,"ATPase, AAA-type, core"
IPR001849,228,ARHGEF2;OSBPL8,0.0036440432756334106,28.415584415584416,2,16,13,2215,Pleckstrin homology domain
IPR036291,39,HSD17B4;BLVRB,0.0036468431098266463,39.94444444444444,2,56,4,2215,NAD(P)-binding domain superfamily
IPR036291,7,PYCR1;PYCR2;HSDL1,0.0036588011695014235,12.164150943396226,3,56,13,2215,NAD(P)-binding domain superfamily
IPR036291,124,RDH14;HSD17B12;SCCPDH,0.0036588011695014235,12.164150943396226,3,56,13,2215,NAD(P)-binding domain superfamily
IPR036291,125,AASS;MDH2;UXS1,0.005615424615156809,10.127358490566039,3,56,15,2215,NAD(P)-binding domain superfamily
IPR036967,234,MRPS11;MRPL18;RPS14,0.0037710484262558665,13.638709677419355,3,8,96,2215,Small ribosomal subunit protein uS11 superfamily
IPR036967,240,MRPS11,0.007212057071661762,315.14285714285717,1,8,2,2215,Small ribosomal subunit protein uS11 superfamily
IPR036388,90,HIST1H1E;RPS19;RPS25,0.004025418425965198,11.25,3,39,19,2215,Winged helix-like DNA-binding domain superfamily
IPR036388,193,SMARCC2;SNRNP200;SMARCC1,0.004678433726245263,10.583333333333334,3,39,20,2215,Winged helix-like DNA-binding domain superfamily
IPR011990,163,POLRMT;CSTF3,0.004055620636892244,32.81818181818182,2,46,5,2215,Tetratricopeptide-like helical domain superfamily
IPR009057,193,SMARCC2;SMARCC1,0.004058562009513968,26.987654320987655,2,11,20,2215,Homeobox-like domain superfamily
IPR002475,230,BAX,0.0040595355048728896,552.5,1,3,3,2215,Bcl2-like
IPR002475,172,BCL2L1,0.005410268503736081,368.1666666666667,1,3,4,2215,Bcl2-like
IPR036834,230,BAX,0.0040595355048728896,552.5,1,3,3,2215,Bcl-2-like superfamily
IPR036834,172,BCL2L1,0.005410268503736081,368.1666666666667,1,3,4,2215,Bcl-2-like superfamily
IPR046371,230,BAX,0.0040595355048728896,552.5,1,3,3,2215,"Bcl-2, Bcl-2 homology region 1-3"
IPR046371,172,BCL2L1,0.005410268503736081,368.1666666666667,1,3,4,2215,"Bcl-2, Bcl-2 homology region 1-3"
IPR019818,28,IDH3A,0.0040595355048728896,552.5,1,3,3,2215,"Isocitrate/isopropylmalate dehydrogenase, conserved site"
IPR024084,28,IDH3A,0.0040595355048728896,552.5,1,3,3,2215,Isopropylmalate dehydrogenase-like domain
IPR007133,53,PAF1,0.0040595355048728896,552.5,1,3,3,2215,RNA polymerase II associated factor Paf1
IPR007133,32,PAF1,0.005410268503736081,368.1666666666667,1,3,4,2215,RNA polymerase II associated factor Paf1
IPR000034,38,LAMC1,0.0040595355048728896,552.5,1,3,3,2215,Laminin IV
IPR000034,33,HSPG2,0.005410268503736081,368.1666666666667,1,3,4,2215,Laminin IV
IPR011417,229,PICALM,0.0040595355048728896,552.5,1,3,3,2215,AP180 N-terminal homology (ANTH) domain
IPR011417,41,PICALM,0.008108069564506168,220.7,1,3,6,2215,AP180 N-terminal homology (ANTH) domain
IPR014712,229,PICALM,0.0040595355048728896,552.5,1,3,3,2215,ANTH domain superfamily
IPR014712,41,PICALM,0.008108069564506168,220.7,1,3,6,2215,ANTH domain superfamily
IPR045192,229,PICALM,0.0040595355048728896,552.5,1,3,3,2215,Clathrin coat assembly protein AP180-like
IPR045192,41,PICALM,0.008108069564506168,220.7,1,3,6,2215,Clathrin coat assembly protein AP180-like
IPR001790,195,MRTO4,0.0040595355048728896,552.5,1,3,3,2215,Large ribosomal subunit protein uL10
IPR001790,214,MRTO4,0.006759779672659099,276.0,1,3,5,2215,Large ribosomal subunit protein uL10
IPR040637,195,MRTO4,0.0040595355048728896,552.5,1,3,3,2215,"Large ribosomal subunit protein uL10-like, insertion domain"
IPR040637,214,MRTO4,0.006759779672659099,276.0,1,3,5,2215,"Large ribosomal subunit protein uL10-like, insertion domain"
IPR043141,195,MRTO4,0.0040595355048728896,552.5,1,3,3,2215,Large ribosomal subunit protein uL10-like domain superfamily
IPR043141,214,MRTO4,0.006759779672659099,276.0,1,3,5,2215,Large ribosomal subunit protein uL10-like domain superfamily
IPR043164,195,MRTO4,0.0040595355048728896,552.5,1,3,3,2215,"Large ribosomal subunit protein uL10-like, insertion domain superfamily"
IPR043164,214,MRTO4,0.006759779672659099,276.0,1,3,5,2215,"Large ribosomal subunit protein uL10-like, insertion domain superfamily"
IPR040248,89,RRBP1,0.0040595355048728896,552.5,1,3,3,2215,Ribosome-binding protein 1
IPR048724,89,NUMA1,0.0040595355048728896,552.5,1,3,3,2215,"Nuclear mitotic apparatus protein 1, N-terminal hook domain"
IPR048726,89,NUMA1,0.0040595355048728896,552.5,1,3,3,2215,"Nuclear mitotic apparatus protein 1, LGN binding domain"
IPR000357,115,TNPO1,0.0040595355048728896,552.5,1,3,3,2215,HEAT repeat
IPR000357,56,PPP2R1A,0.009455138732141516,183.83333333333334,1,3,7,2215,HEAT repeat
IPR000633,115,CTNNA2,0.0040595355048728896,552.5,1,3,3,2215,"Vinculin, conserved site"
IPR000633,159,VCL,0.005410268503736081,368.1666666666667,1,3,4,2215,"Vinculin, conserved site"
IPR006077,115,CTNNA2,0.0040595355048728896,552.5,1,3,3,2215,Vinculin/alpha-catenin
IPR006077,159,VCL,0.005410268503736081,368.1666666666667,1,3,4,2215,Vinculin/alpha-catenin
IPR040122,115,TNPO1,0.0040595355048728896,552.5,1,3,3,2215,Importin beta family
IPR013162,184,BCAM,0.0040595355048728896,552.5,1,3,3,2215,"CD80-like, immunoglobulin C2-set"
IPR005612,194,NOC3L,0.0040595355048728896,552.5,1,3,3,2215,CCAAT-binding factor
IPR000639,219,EPHX1,0.0040595355048728896,552.5,1,3,3,2215,Epoxide hydrolase-like
IPR000889,192,GPX8,0.004063205417607223,inf,1,1,9,2215,Glutathione peroxidase
IPR004529,192,FARSA,0.004063205417607223,inf,1,1,9,2215,"Phenylalanyl-tRNA synthetase, class IIc, alpha subunit"
IPR013376,192,GPX8,0.004063205417607223,inf,1,1,9,2215,"Glutathione peroxidase Gpx7, putative"
IPR018957,192,PML,0.004063205417607223,inf,1,1,9,2215,"Zinc finger, C3HC4 RING-type"
IPR021978,192,PML,0.004063205417607223,inf,1,1,9,2215,"PML-like, coiled-coil"
IPR029760,192,GPX8,0.004063205417607223,inf,1,1,9,2215,Glutathione peroxidase conserved site
IPR040586,192,FARSA,0.004063205417607223,inf,1,1,9,2215,PheRS DNA binding domain 2
IPR040724,192,FARSA,0.004063205417607223,inf,1,1,9,2215,"PheRS, DNA binding domain 1"
IPR040725,192,FARSA,0.004063205417607223,inf,1,1,9,2215,"PheRS, DNA binding domain 3"
IPR047153,192,PML,0.004063205417607223,inf,1,1,9,2215,TRIM45/56/19
IPR006595,186,SMU1,0.004063205417607223,inf,1,1,9,2215,"CTLH, C-terminal LisH motif"
IPR045184,186,SMU1,0.004063205417607223,inf,1,1,9,2215,WD40 repeat-containing protein SMU1
IPR049152,186,EFR3A,0.004063205417607223,inf,1,1,9,2215,"EFR3-like, armadillo repeat"
IPR000114,142,MRPL16,0.004063205417607223,inf,1,1,9,2215,"Large ribosomal subunit protein uL16, bacterial-type"
IPR000286,142,HDAC2,0.004063205417607223,inf,1,1,9,2215,Histone deacetylase family
IPR002562,142,EXOSC10,0.004063205417607223,inf,1,1,9,2215,3'-5' exonuclease domain
IPR003084,142,HDAC2,0.004063205417607223,inf,1,1,9,2215,Histone deacetylase
IPR005711,142,RPS2,0.004063205417607223,inf,1,1,9,2215,"Small ribosomal subunit protein uS5, eukaryotic/archaeal"
IPR012588,142,EXOSC10,0.004063205417607223,inf,1,1,9,2215,"Exosome-associated factor Rrp6, N-terminal"
IPR023696,142,HDAC2,0.004063205417607223,inf,1,1,9,2215,Ureohydrolase domain superfamily
IPR023801,142,HDAC2,0.004063205417607223,inf,1,1,9,2215,Histone deacetylase domain
IPR034118,142,S100A6,0.004063205417607223,inf,1,1,9,2215,Protein S100-A6
IPR036397,142,EXOSC10,0.004063205417607223,inf,1,1,9,2215,Ribonuclease H superfamily
IPR037138,142,HDAC2,0.004063205417607223,inf,1,1,9,2215,Histone deacetylase domain superfamily
IPR045092,142,EXOSC10,0.004063205417607223,inf,1,1,9,2215,Exosome complex exonuclease Rrp6-like
IPR047129,142,PPP2CA,0.004063205417607223,inf,1,1,9,2215,Serine/Threonine protein phosphatase PP2A-like
IPR049559,142,EXOSC10,0.004063205417607223,inf,1,1,9,2215,"Rrp6-like, 3'-5' exonuclease domain"
IPR002225,200,NSDHL,0.004063205417607223,inf,1,1,9,2215,3-beta hydroxysteroid dehydrogenase/isomerase
IPR008999,200,FRG1,0.004063205417607223,inf,1,1,9,2215,Actin-crosslinking
IPR010414,200,FRG1,0.004063205417607223,inf,1,1,9,2215,Protein FRG1
IPR012617,200,AATF,0.004063205417607223,inf,1,1,9,2215,"Apoptosis-antagonizing transcription factor, C-terminal"
IPR022617,200,SUMO1,0.004063205417607223,inf,1,1,9,2215,Rad60/SUMO-like domain
IPR025160,200,AATF,0.004063205417607223,inf,1,1,9,2215,AATF leucine zipper-containing domain
IPR025742,200,CSTF2,0.004063205417607223,inf,1,1,9,2215,"Cleavage stimulation factor subunit 2, hinge domain"
IPR026896,200,CSTF2,0.004063205417607223,inf,1,1,9,2215,"Transcription termination and cleavage factor, C-terminal domain"
IPR038192,200,CSTF2,0.004063205417607223,inf,1,1,9,2215,"Transcription termination and cleavage factor, C-terminal domain superfamily"
IPR039220,200,FAM3C,0.004063205417607223,inf,1,1,9,2215,FAM3 family
IPR039223,200,AATF,0.004063205417607223,inf,1,1,9,2215,Protein AATF/Bfr2
IPR039475,200,FAM3C,0.004063205417607223,inf,1,1,9,2215,FAM3C (ILEI) domain
IPR046332,200,SUMO1,0.004063205417607223,inf,1,1,9,2215,"Small ubiquitin-related modifier 1, Ubl domain"
IPR001736,222,PLD1,0.004063205417607223,inf,1,1,9,2215,Phospholipase D/Transphosphatidylase
IPR001748,222,BUD31,0.004063205417607223,inf,1,1,9,2215,Pre-mRNA-splicing factor BUD31
IPR002935,222,COMT,0.004063205417607223,inf,1,1,9,2215,Class I-like SAM-dependent O-methyltransferase
IPR009462,222,CHD4,0.004063205417607223,inf,1,1,9,2215,"CHD subfamily II, SANT-like domain"
IPR009463,222,CHD4,0.004063205417607223,inf,1,1,9,2215,Domain of unknown function DUF1087
IPR012957,222,CHD4,0.004063205417607223,inf,1,1,9,2215,"CHD, C-terminal 2"
IPR012958,222,CHD4,0.004063205417607223,inf,1,1,9,2215,"CHD, N-terminal"
IPR015679,222,PLD1,0.004063205417607223,inf,1,1,9,2215,Phospholipase D family
IPR016555,222,PLD1,0.004063205417607223,inf,1,1,9,2215,"Phospholipase D, eukaryotic type"
IPR017128,222,COMT,0.004063205417607223,inf,1,1,9,2215,"Catechol O-methyltransferase, eukaryotic"
IPR018230,222,BUD31,0.004063205417607223,inf,1,1,9,2215,"BUD31/G10-related, conserved site"
IPR024135,222,LAMTOR5,0.004063205417607223,inf,1,1,9,2215,Ragulator complex protein LAMTOR5
IPR025202,222,PLD1,0.004063205417607223,inf,1,1,9,2215,Phospholipase D-like domain
IPR034903,222,LARP4,0.004063205417607223,inf,1,1,9,2215,"LARP4, RNA recognition motif"
